Gene_id,18870_0,18870_1,18870_2,18870_3,18870_5,18870_6,18870_7,18870_8,18870_9,18870_10,18870_11,18870_12,18870_13,18870_14,18870_15
ENSG00000273291,5,7,1,5,1,5,14,6,1,14,6,0,4,7,1
ENSG00000273274,206,251,250,221,219,236,294,294,239,343,230,221,176,331,143
ENSG00000273259,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000273173,35,21,17,8,5,12,11,24,14,12,12,14,10,12,7
ENSG00000273154,12,14,15,21,13,30,30,27,23,35,29,27,24,39,27
ENSG00000273079,302,14,10,47,11,37,54,48,29,36,14,7,26,62,55
ENSG00000273045,71,143,97,59,35,77,83,70,58,71,76,22,39,29,32
ENSG00000272658,75,54,56,50,32,61,69,76,61,73,43,64,69,80,40
ENSG00000272636,13,15,70,102,25,29,19,18,26,57,28,75,50,49,31
ENSG00000272573,9,3,6,8,2,1,4,4,2,2,2,1,3,3,2
ENSG00000272442,9,5,12,8,10,10,15,18,11,17,22,14,14,16,10
ENSG00000272325,863,1023,939,792,645,752,861,741,731,961,804,793,775,814,706
ENSG00000272305,5,3,9,9,10,8,10,5,13,16,6,6,5,5,4
ENSG00000272214,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0
ENSG00000272195,5,2,6,15,11,11,20,13,16,15,10,12,13,14,9
ENSG00000272047,418,890,746,696,488,618,728,710,661,821,729,595,550,668,470
ENSG00000271810,6,1,3,9,14,4,5,3,1,0,1,1,2,1,0
ENSG00000271698,1,14,6,4,9,16,12,16,15,13,12,19,19,19,12
ENSG00000271321,22,44,20,27,4,14,11,14,16,11,11,3,3,6,2
ENSG00000271303,73,59,35,32,21,33,25,26,17,46,31,28,30,30,27
ENSG00000271092,0,0,0,1,1,2,2,0,2,4,2,0,3,7,2
ENSG00000271043,1661,2578,1985,1541,1148,1233,1387,1181,1003,1844,917,778,773,1820,623
ENSG00000270672,19,39,25,17,19,15,17,23,20,36,13,12,7,45,9
ENSG00000270394,7,5,3,5,2,3,2,3,2,2,4,2,1,1,0
ENSG00000270188,6,7,11,1,2,6,2,2,2,8,3,3,5,3,1
ENSG00000270149,3,6,9,4,7,6,10,9,3,7,7,0,3,10,2
ENSG00000269964,7,21,17,12,7,6,10,3,2,3,0,0,0,2,0
ENSG00000269883,45,8,11,2,2,3,2,2,1,1,2,0,1,0,1
ENSG00000269858,507,450,464,447,456,469,595,535,491,583,483,495,455,716,381
ENSG00000269855,1,4,2,1,1,1,0,1,0,0,0,0,0,0,0
ENSG00000269846,11,21,10,6,4,9,7,8,11,4,14,0,2,2,0
ENSG00000269832,1,1,2,2,1,1,2,2,1,4,0,3,0,2,1
ENSG00000269783,1,2,0,7,4,6,2,2,3,3,2,3,2,7,3
ENSG00000269781,5,6,1,4,1,2,9,6,5,5,3,6,9,10,6
ENSG00000269753,7,12,5,5,12,18,17,11,12,17,11,8,16,12,13
ENSG00000269693,12,14,12,13,14,17,17,10,23,29,15,15,18,13,17
ENSG00000269690,8,2,5,0,5,6,7,3,7,25,11,12,24,5,24
ENSG00000269657,14,16,11,8,9,7,9,8,13,3,8,11,10,14,8
ENSG00000269647,9,19,5,6,0,5,1,0,0,0,1,0,0,0,0
ENSG00000269559,5,1,7,1,2,3,2,0,2,0,4,5,2,4,1
ENSG00000269558,3,1,3,2,6,2,3,4,6,5,5,5,5,8,2
ENSG00000269549,5,7,16,6,7,5,10,13,8,16,11,4,8,6,8
ENSG00000269533,2,1,2,0,4,7,2,6,5,7,1,5,2,5,1
ENSG00000269526,2,0,0,0,2,0,2,0,0,6,1,0,0,3,1
ENSG00000269514,5,3,5,5,8,5,2,5,7,1,2,0,2,4,3
ENSG00000269430,187,244,755,423,267,263,239,204,225,373,278,286,341,245,291
ENSG00000269404,136,14,110,88,14,26,21,19,19,10,11,6,8,5,1
ENSG00000269402,5,10,1,2,3,4,1,4,5,3,4,2,3,2,1
ENSG00000269396,2,0,1,0,2,1,2,1,0,2,1,4,5,3,6
ENSG00000269363,2,8,2,4,2,4,3,5,0,3,2,2,7,2,1
ENSG00000269343,932,975,897,751,489,563,592,553,457,447,338,307,279,353,287
ENSG00000269302,8,11,16,5,11,6,3,4,7,11,5,4,5,2,5
ENSG00000269190,806,1249,1008,1098,1330,1195,1125,717,845,1155,722,1208,923,1019,597
ENSG00000269175,12,26,16,16,6,13,8,15,12,6,1,6,7,12,8
ENSG00000269165,2,12,11,17,9,9,10,18,12,26,9,11,11,14,8
ENSG00000269155,1,1,6,3,0,1,2,1,1,5,4,0,0,2,1
ENSG00000269113,221,143,315,269,712,683,471,499,304,628,402,1375,878,1832,237
ENSG00000269103,0,0,0,1,6,6,5,2,2,5,5,5,2,4,1
ENSG00000269089,5,24,16,11,5,5,14,11,8,15,5,3,2,8,2
ENSG00000269067,5,9,4,3,7,7,1,0,5,2,4,2,5,1,2
ENSG00000269058,6,8,3,1,1,0,0,2,3,1,1,0,0,0,1
