Gene_id,18912_0,18912_1,18912_2,18912_3,18912_4,18912_5,18912_6,18912_7,18912_8,18912_9,18912_10,18912_11,18912_12,18912_13,18912_14,18912_15
ENSG00000273291,10,6,5,4,2,4,1,1,1,0,1,1,1,1,0,0
ENSG00000273274,251,337,202,298,159,273,276,262,241,366,392,355,288,315,303,230
ENSG00000273259,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0
ENSG00000273173,86,30,20,24,30,27,24,20,20,37,27,39,49,38,50,47
ENSG00000273154,5,15,16,23,17,17,13,26,21,32,26,30,30,32,20,14
ENSG00000273079,258,44,11,111,213,164,130,100,118,117,150,100,95,84,78,74
ENSG00000273045,32,128,24,29,41,30,27,29,11,24,32,23,10,11,23,5
ENSG00000272658,31,61,26,32,30,29,45,28,35,47,26,26,60,23,34,18
ENSG00000272636,18,28,83,153,156,24,22,5,14,20,32,30,15,15,6,8
ENSG00000272573,6,4,2,0,3,5,0,1,0,2,3,0,1,3,4,1
ENSG00000272442,13,3,5,7,10,7,14,22,17,11,18,12,14,11,19,5
ENSG00000272325,575,1413,911,765,916,863,691,647,726,900,827,776,712,777,756,588
ENSG00000272305,4,6,5,10,12,9,7,5,2,2,2,3,2,3,4,8
ENSG00000272214,0,4,1,3,6,2,2,1,4,3,1,0,2,3,1,2
ENSG00000272195,26,13,14,30,4,11,11,24,14,25,38,32,13,24,17,12
ENSG00000272047,325,1317,620,826,726,720,721,619,627,796,911,787,686,695,693,471
ENSG00000271810,8,2,6,12,3,20,18,15,8,8,4,2,2,1,1,0
ENSG00000271698,1,3,2,1,3,3,3,7,10,14,9,12,15,13,13,9
ENSG00000271321,46,79,48,43,34,14,16,9,6,4,10,10,5,6,11,4
ENSG00000271303,30,62,58,14,48,24,22,15,27,45,47,35,47,38,43,35
ENSG00000271092,0,0,0,0,0,0,4,2,2,5,2,2,5,3,5,2
ENSG00000271043,2354,3000,1441,3404,1142,1299,974,1136,1102,1813,1802,1586,1517,2070,1638,1442
ENSG00000270672,32,32,33,58,18,30,11,11,10,23,22,22,34,39,22,20
ENSG00000270394,2,15,3,6,2,1,5,1,3,5,4,6,4,4,5,4
ENSG00000270188,5,5,5,10,0,2,1,2,3,8,3,6,6,14,5,5
ENSG00000270149,3,3,2,1,5,11,5,1,5,7,10,6,2,6,2,4
