Gene_id,19209_0,19209_10,19209_11,19209_12,19209_14,19209_15,19209_1,19209_3,19209_4,19209_5,19209_6,19209_7,19209_8,19209_9
ENSG00000273291,16,12,8,7,3,3,7,0,6,15,10,34,14,13
ENSG00000273274,244,360,366,284,300,287,278,370,296,422,342,589,322,412
ENSG00000273259,1,0,1,0,0,0,1,2,0,0,1,3,0,0
ENSG00000273173,41,13,17,15,11,11,11,11,20,18,20,23,12,16
ENSG00000273154,5,19,16,13,22,16,4,9,12,14,20,19,12,17
ENSG00000273079,261,21,31,68,72,120,61,31,119,74,72,36,10,23
ENSG00000273045,47,93,111,105,108,103,100,66,69,81,90,126,82,95
ENSG00000272658,63,35,66,66,63,60,48,24,70,58,55,81,60,51
ENSG00000272636,7,36,33,27,17,26,7,51,20,13,9,13,22,24
ENSG00000272573,9,2,1,3,2,2,6,3,3,6,5,1,1,5
ENSG00000272442,4,11,5,8,6,4,4,8,11,12,13,9,7,11
ENSG00000272325,511,644,533,656,818,830,975,727,712,743,748,898,635,600
ENSG00000272305,2,7,7,5,8,3,4,16,8,8,6,13,4,10
ENSG00000272214,0,0,0,1,0,0,0,2,1,1,6,4,3,1
ENSG00000272195,7,19,7,12,12,5,12,21,5,19,5,36,13,22
ENSG00000272047,237,555,542,469,629,536,669,765,576,555,516,714,506,525
ENSG00000271810,8,0,4,3,1,2,2,6,0,4,2,4,0,3
ENSG00000271698,1,3,5,5,5,5,4,1,3,6,5,1,11,4
ENSG00000271321,79,21,26,42,43,27,41,50,46,26,29,36,29,26
ENSG00000271303,16,18,13,13,16,15,33,22,21,32,19,25,18,16
ENSG00000271092,1,4,1,4,2,6,0,1,2,2,0,1,2,2
ENSG00000271043,2599,1469,751,1083,1489,1068,2180,3094,1174,1803,1208,2425,1122,1869
ENSG00000270672,33,23,6,16,20,13,30,33,10,25,20,27,11,28
ENSG00000270394,0,2,0,0,6,1,2,2,1,2,2,1,1,1
ENSG00000270188,4,2,1,8,1,4,3,4,0,4,2,6,1,1
ENSG00000270149,1,12,12,13,12,10,8,8,5,0,6,8,11,7
ENSG00000269964,3,2,1,3,0,2,3,23,4,14,6,12,4,5
ENSG00000269883,32,2,0,0,1,1,9,6,9,9,0,4,1,5
ENSG00000269858,492,406,377,401,407,365,283,437,468,480,455,544,501,420
ENSG00000269855,1,4,2,1,2,0,0,1,1,5,2,6,2,0
ENSG00000269846,5,3,1,3,4,4,15,10,10,10,8,12,4,4
ENSG00000269832,2,4,1,12,0,1,2,4,0,0,0,3,2,2
ENSG00000269783,0,2,4,1,0,2,0,1,2,1,4,1,1,0
ENSG00000269781,3,3,1,6,6,3,5,4,5,3,4,3,1,9
ENSG00000269753,7,9,2,4,9,5,3,8,11,13,11,14,11,4
ENSG00000269693,7,24,18,19,22,14,4,19,11,14,20,17,19,9
ENSG00000269690,2,23,11,24,35,26,1,3,3,8,14,8,7,6
ENSG00000269657,37,16,5,10,14,20,10,21,12,21,14,37,12,19
ENSG00000269647,20,2,0,0,0,0,20,13,9,8,7,9,5,5
ENSG00000269559,1,0,0,0,2,3,4,1,4,2,1,4,1,0
ENSG00000269558,2,0,2,1,2,0,0,0,0,1,0,1,0,0
ENSG00000269549,13,16,14,9,11,6,9,14,7,13,9,12,8,16
ENSG00000269533,0,3,3,3,5,3,1,5,0,5,4,5,2,2
ENSG00000269526,9,1,2,3,2,2,2,2,2,1,3,2,1,4
ENSG00000269514,7,6,14,10,6,12,6,8,2,13,5,22,13,10
ENSG00000269430,213,157,148,150,188,211,264,1216,225,233,144,200,148,178
ENSG00000269404,66,14,13,10,3,5,16,113,113,38,42,28,14,13
ENSG00000269402,3,3,1,4,3,2,6,1,4,2,2,2,3,2
ENSG00000269396,1,1,1,1,0,0,0,3,1,1,0,0,1,1
ENSG00000269363,1,2,1,2,4,0,2,2,1,4,2,3,3,5
ENSG00000269343,667,547,607,610,655,502,870,850,979,1007,1015,1167,683,558
ENSG00000269302,3,5,3,5,7,7,17,13,6,10,6,7,3,1
ENSG00000269190,392,707,410,592,767,669,691,906,739,1006,734,1039,509,708
ENSG00000269175,16,16,17,18,11,9,26,11,23,27,16,26,24,11
ENSG00000269165,6,11,17,22,10,10,5,20,8,19,6,18,15,20
