Gene_id,18499_0,18499_1,18499_2,18499_3,18499_4,18499_5,18499_6,18499_7,18499_8,18499_9,18499_10,18499_11,18499_12,18499_13,18499_14,18499_15
ENSG00000273291,16,12,4,13,6,9,10,13,5,7,14,9,6,8,7,0
ENSG00000273274,370,350,297,500,193,379,345,353,293,358,618,446,238,306,360,330
ENSG00000273259,1,1,0,1,0,3,1,0,0,0,3,0,0,0,2,0
ENSG00000273173,19,11,16,40,18,16,24,16,21,33,24,27,17,17,21,22
ENSG00000273154,11,15,21,29,19,37,46,30,56,45,27,39,16,61,30,11
ENSG00000273079,115,39,38,76,70,50,110,57,54,66,41,24,40,84,89,111
ENSG00000273045,90,132,142,238,81,104,98,130,101,139,168,115,101,145,138,130
ENSG00000272658,44,40,47,66,48,82,88,55,80,78,67,87,62,103,82,45
ENSG00000272636,7,7,25,44,17,11,9,18,24,24,66,38,35,45,26,19
ENSG00000272573,8,6,7,7,4,6,2,3,5,4,3,8,4,2,0,0
ENSG00000272442,9,12,8,23,10,12,15,12,17,14,4,10,13,12,17,7
ENSG00000272325,659,1082,1130,1225,808,1166,1114,908,948,926,1182,997,801,1053,1029,720
ENSG00000272305,12,14,20,22,9,11,5,19,9,16,14,7,10,13,20,9
ENSG00000272214,1,0,0,2,22,23,21,17,4,5,2,2,1,0,2,0
ENSG00000272195,19,19,23,26,2,13,17,20,5,19,41,10,15,14,19,8
ENSG00000272047,582,1009,1063,1500,703,978,993,992,897,843,1233,1034,908,1059,1107,1145
ENSG00000271810,5,4,2,5,0,1,4,0,3,1,1,0,1,2,1,0
ENSG00000271698,4,11,7,14,8,5,18,15,23,9,6,5,9,18,11,0
ENSG00000271321,39,29,23,33,26,35,27,17,25,27,29,13,21,30,51,45
ENSG00000271303,36,36,44,59,55,48,43,32,30,21,37,39,18,35,24,6
ENSG00000271092,1,2,2,1,2,3,8,3,4,1,1,11,5,8,9,2
ENSG00000271043,5450,4385,3059,4959,1543,2534,1854,2020,1881,2984,3342,2060,2143,2216,2425,1718
ENSG00000270672,86,71,49,85,18,32,38,31,29,43,38,32,31,35,42,32
ENSG00000270394,24,6,3,9,4,4,4,4,5,2,8,4,3,4,9,3
ENSG00000270188,25,12,5,13,3,7,5,4,5,10,13,7,2,7,9,8
ENSG00000270149,8,9,13,18,2,16,8,13,12,12,15,12,21,11,11,2
