Gene_id,19193_0,19193_1,19193_2,19193_3,19193_5,19193_6,19193_7,19193_8,19193_9,19193_10,19193_11,19193_12,19193_13,19193_14,19193_15
ENSG00000273291,13,4,2,1,8,3,12,5,1,4,0,1,1,1,1
ENSG00000273274,253,189,272,279,296,258,216,193,142,149,117,185,132,148,133
ENSG00000273259,0,0,1,5,0,0,0,2,2,2,17,99,129,189,241
ENSG00000273173,28,12,6,8,3,8,4,5,6,4,9,6,7,10,9
ENSG00000273154,5,4,9,5,10,28,12,20,12,14,15,15,16,23,9
ENSG00000273079,38,17,3,35,164,39,29,28,9,20,9,13,26,15,26
ENSG00000273045,25,64,42,26,29,41,43,72,65,46,66,105,76,87,69
ENSG00000272658,27,9,21,9,15,18,24,28,23,20,27,18,26,30,28
ENSG00000272636,22,24,47,49,34,26,29,19,7,15,9,11,10,7,5
ENSG00000272573,6,4,3,1,4,5,2,0,0,3,2,4,1,2,7
ENSG00000272442,6,3,5,6,4,5,9,2,2,7,0,5,5,5,6
ENSG00000272325,493,579,580,384,374,413,427,518,388,477,458,561,544,557,504
ENSG00000272305,8,5,10,13,20,3,13,13,8,8,13,7,3,6,6
ENSG00000272214,0,0,0,1,6,22,45,39,67,28,58,60,52,77,46
ENSG00000272195,8,5,7,4,5,1,4,1,8,13,2,1,4,6,4
ENSG00000272047,287,458,558,433,491,524,444,483,484,511,442,542,510,568,463
ENSG00000271810,5,7,4,3,0,0,0,1,0,1,0,0,1,0,1
ENSG00000271698,4,4,5,2,3,6,3,9,9,9,6,8,10,3,14
ENSG00000271321,36,19,29,19,24,36,15,23,17,19,15,26,31,32,23
ENSG00000271303,22,13,17,7,12,22,11,14,20,21,22,34,17,38,16
ENSG00000271092,0,2,0,0,2,8,1,1,6,7,1,2,3,2,8
ENSG00000271043,2809,3090,2815,2082,1956,605,1009,475,796,1450,454,918,663,772,851
ENSG00000270672,67,134,86,72,116,19,47,21,38,30,20,32,29,36,46
ENSG00000270394,3,8,4,7,3,0,2,2,1,8,2,0,0,0,3
ENSG00000270188,3,12,3,6,3,0,3,2,1,1,1,0,0,1,5
ENSG00000270149,5,2,6,7,4,4,3,4,3,2,5,0,1,11,5
