gene_id,rep1_d_13,rep1_d_20,rep1_d_30,rep2_d_13,rep2_d_20,rep2_d_30,rep3_d_13,rep3_d_20,rep3_d_30
ENSG00000223972.5,0,0,0,0,0,0,1,0,0
ENSG00000227232.5,176,45,84,68,68,59,127,17,19
ENSG00000278267.1,10,4,8,0,10,5,8,3,6
ENSG00000243485.5,4,0,3,0,0,0,0,1,1
ENSG00000284332.1,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0
ENSG00000240361.2,0,0,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,0,0,0,2,0,1
ENSG00000239945.1,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,12,0,4,3,2,1,6,3,4
ENSG00000268903.1,52,24,35,13,57,13,23,13,8
ENSG00000269981.1,51,33,32,12,79,21,48,18,9
ENSG00000239906.1,7,0,5,3,6,0,0,2,2
ENSG00000241860.7,5,6,2,3,8,6,5,5,1
ENSG00000222623.1,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,1,0,0,0,0,0
ENSG00000279457.4,168,91,158,125,92,88,202,70,87
ENSG00000273874.1,0,0,0,0,0,0,0,0,0
ENSG00000228463.10,4,6,2,3,1,1,3,0,3
ENSG00000286448.1,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,0,0,1,3,0,1,5,4,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0
ENSG00000237094.12,47,26,47,9,69,21,45,5,20
ENSG00000269732.1,0,0,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,1,0,0,0
ENSG00000250575.1,1,1,4,1,3,0,1,0,0
ENSG00000278757.1,1,0,0,0,1,0,1,0,0
ENSG00000230021.10,12,16,24,5,17,1,11,5,10
ENSG00000235146.2,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,1,9,2,6,2,7,1,2,5
ENSG00000225630.1,2030,3324,3713,2618,2537,3826,1892,2797,3232
ENSG00000237973.1,913,993,1765,771,915,3648,1054,641,2931
ENSG00000278791.1,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,1,4,16,1,7,7,5,8,11
ENSG00000240409.1,0,0,0,0,0,0,0,0,0
ENSG00000248527.1,3369,12635,5183,3577,11554,15769,3376,9386,10938
ENSG00000198744.5,10,10,11,3,5,20,2,5,14
ENSG00000268663.1,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,4,0,2,3,1,0,1,1
ENSG00000228327.3,138,54,126,47,112,89,156,38,58
ENSG00000223181.1,1,0,1,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0,0,0
ENSG00000237491.10,50,28,38,13,22,14,46,6,27
ENSG00000285268.1,0,0,0,0,0,0,0,0,0
ENSG00000230092.7,3,7,9,3,2,2,1,1,5
ENSG00000177757.2,1,3,9,0,3,1,6,2,3
ENSG00000228794.10,419,521,912,434,445,578,616,329,635
ENSG00000225880.5,28,35,10,19,15,5,38,3,5
ENSG00000288531.1,0,3,0,0,0,0,4,0,4
ENSG00000230368.2,0,0,0,0,1,0,2,0,1
ENSG00000234711.1,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,40,9,8,3,11,9,48,3,6
ENSG00000230699.2,144,40,45,6,69,59,221,7,6
ENSG00000241180.1,1,0,2,1,0,0,2,0,0
ENSG00000223764.2,313,71,141,59,240,137,534,15,38
ENSG00000187634.12,487,113,462,104,149,401,1466,40,86
ENSG00000188976.11,1782,1836,2283,2666,1201,2672,1856,1210,1499
ENSG00000187961.14,430,277,111,191,176,192,422,140,63
ENSG00000187583.11,23,11,0,17,3,11,24,5,7
ENSG00000187642.9,1,0,1,3,0,5,3,1,0
ENSG00000272512.1,25,74,14,27,63,29,55,21,3
ENSG00000188290.11,722,1606,527,778,1425,1330,1714,1082,268
ENSG00000187608.10,268,561,360,540,365,743,362,514,230
ENSG00000231702.2,4,0,3,0,0,3,0,0,3
ENSG00000224969.1,15,3,6,1,10,6,11,1,3
ENSG00000188157.15,8614,28011,13590,5852,19754,19555,10759,11634,9644
ENSG00000242590.1,0,0,0,0,0,0,0,0,0
ENSG00000217801.10,41,21,2,26,18,14,71,12,8
ENSG00000273443.1,1,0,3,4,0,1,2,0,0
ENSG00000237330.3,4,4,1,1,1,1,16,4,1
ENSG00000131591.17,355,338,236,248,247,294,278,150,119
ENSG00000285812.1,12,8,11,3,8,17,12,1,19
ENSG00000223823.1,0,0,1,0,0,0,2,0,0
ENSG00000207730.3,0,0,0,3,0,0,4,0,0
ENSG00000207607.3,0,0,0,1,0,0,0,0,0
ENSG00000198976.1,4,0,0,0,0,0,0,0,0
ENSG00000272141.1,18,1,0,4,0,0,0,1,0
ENSG00000205231.1,8,0,0,0,0,0,4,0,0
ENSG00000162571.14,15,0,0,0,0,1,7,0,0
ENSG00000186891.14,6,8,1,2,2,4,12,1,0
ENSG00000186827.11,1,2,1,0,0,1,5,0,0
ENSG00000078808.18,2328,4509,3201,2572,3715,4045,2475,3101,1802
ENSG00000176022.7,774,1344,1245,780,1089,1603,1090,970,754
ENSG00000184163.3,48,32,44,16,28,36,94,16,28
ENSG00000260179.1,5,4,11,2,7,3,12,3,0
ENSG00000160087.21,985,1265,1244,1105,905,1664,1203,953,777
ENSG00000230415.1,23,6,20,3,10,14,34,6,14
ENSG00000162572.21,148,75,85,31,64,49,204,26,48
ENSG00000131584.19,1109,1604,1326,927,1140,1780,1286,1096,964
ENSG00000278073.1,0,0,0,0,0,0,0,0,0
ENSG00000169972.12,235,317,262,268,198,367,255,202,166
ENSG00000127054.21,1670,1345,1794,1049,953,1475,1636,862,1044
ENSG00000283712.1,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,41,7,21,15,27,45,31,10,10
ENSG00000224051.7,342,638,640,310,484,678,353,510,369
ENSG00000169962.5,9,15,27,16,12,18,22,7,9
ENSG00000107404.20,1345,1006,1341,929,738,1628,1587,666,793
ENSG00000284372.1,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,1629,1516,1391,976,1223,3060,3365,833,467
ENSG00000175756.13,1388,1511,1547,2139,955,1906,1648,1374,1211
ENSG00000223663.2,0,0,0,0,0,0,0,0,1
ENSG00000221978.12,5552,3630,2071,1940,3502,2264,4427,1578,985
ENSG00000224870.7,439,278,281,299,299,304,414,212,155
ENSG00000242485.6,1032,910,1208,1270,605,1272,1229,782,729
ENSG00000264293.2,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,155,79,52,63,61,23,162,43,24
ENSG00000235098.8,50,4,0,4,2,17,39,2,0
ENSG00000225905.1,4,1,0,0,0,0,3,0,0
ENSG00000205116.3,13,9,4,6,2,0,20,2,1
ENSG00000225285.1,43,9,28,23,6,33,41,4,11
ENSG00000179403.12,525,411,294,470,317,650,560,151,149
ENSG00000215915.10,15,0,5,4,2,9,6,0,2
ENSG00000160072.20,811,736,519,847,502,843,608,403,302
ENSG00000284740.1,12,1,4,6,6,8,10,3,8
ENSG00000197785.14,821,892,1009,1229,603,1555,850,653,681
ENSG00000205090.9,80,82,132,39,96,97,193,53,91
ENSG00000160075.12,1568,2360,2694,1980,1546,2774,1941,1986,1641
ENSG00000215014.5,12,28,24,27,48,33,35,18,13
ENSG00000274481.1,0,0,0,1,0,0,0,0,0
ENSG00000228594.4,201,397,445,136,377,522,298,236,304
ENSG00000286989.1,14,13,12,2,11,13,13,5,7
ENSG00000272106.1,258,223,303,141,256,171,303,199,179
ENSG00000197530.12,1258,1332,2366,811,979,1917,1489,985,1501
ENSG00000189409.14,163,86,276,11,142,138,100,45,137
ENSG00000248333.8,770,694,1301,934,629,1232,926,552,760
ENSG00000272004.1,2,1,1,2,2,0,4,0,5
ENSG00000189339.12,1765,2035,2764,809,1729,2118,1966,917,1186
ENSG00000269737.2,35,16,74,14,39,33,29,9,30
ENSG00000215914.4,12,2,12,4,59,7,14,22,7
ENSG00000008128.23,14,18,26,17,18,23,21,11,13
ENSG00000268575.1,56,37,80,17,25,30,48,17,43
ENSG00000227775.3,22,12,25,3,12,5,20,3,5
ENSG00000215790.7,285,258,363,85,257,163,296,139,202
ENSG00000008130.15,1285,1217,977,764,1039,1170,1213,581,411
ENSG00000078369.18,6329,10557,8833,8435,8269,13714,7935,8065,4268
ENSG00000231050.1,10,10,15,14,11,16,15,13,5
ENSG00000169885.10,6,3,2,0,9,2,2,1,0
ENSG00000178821.13,49,23,4,26,4,14,47,11,1
ENSG00000142609.18,7,8,0,2,1,4,28,0,0
ENSG00000233542.2,0,0,0,0,0,0,6,0,0
ENSG00000187730.9,4,0,0,1,0,0,10,0,0
ENSG00000226969.1,0,3,0,1,1,1,0,1,0
ENSG00000067606.17,405,572,670,275,306,607,441,564,514
ENSG00000271806.1,4,6,3,2,4,6,6,3,7
ENSG00000182873.5,87,81,126,39,41,95,81,36,61
ENSG00000162585.17,1051,1380,1201,903,972,1314,1326,1114,751
ENSG00000234396.3,2,0,1,1,1,0,1,4,1
ENSG00000157933.10,1743,3807,4711,1491,3063,4002,2605,2248,1667
ENSG00000287356.1,190,79,87,27,54,63,145,53,40
ENSG00000116151.14,213,98,342,80,82,206,273,87,150
ENSG00000272161.1,1,1,0,1,1,0,3,0,0
ENSG00000269896.2,34,27,62,23,14,38,84,10,11
ENSG00000272420.1,8,4,9,3,16,7,3,8,5
ENSG00000157916.20,1176,1645,1401,1270,1175,1693,1122,1225,777
ENSG00000157911.11,442,387,450,328,248,441,537,305,220
ENSG00000149527.18,34,26,50,10,66,57,48,8,16
ENSG00000224387.1,0,1,1,2,2,0,0,0,0
ENSG00000229393.1,3,0,4,0,2,0,0,0,0
ENSG00000157881.16,588,577,932,581,484,897,711,450,721
ENSG00000197921.6,22,1,0,28,0,0,83,0,0
ENSG00000272449.2,11,9,1,24,9,5,28,0,3
ENSG00000238164.6,0,0,0,1,1,0,3,0,0
ENSG00000157873.17,0,0,0,0,0,0,3,0,0
ENSG00000225931.3,0,0,0,0,0,0,0,0,0
ENSG00000228037.1,2,2,0,0,0,0,3,0,0
ENSG00000157870.17,584,616,682,554,419,859,954,410,368
ENSG00000142606.16,2,2,1,0,5,1,14,1,0
ENSG00000237058.1,3,0,0,0,0,0,0,0,0
ENSG00000215912.12,36,22,8,6,37,13,52,5,18
ENSG00000285945.1,0,0,0,0,0,0,0,0,0
ENSG00000283259.1,1,0,0,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,1,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0,0,0
ENSG00000177133.11,33,52,1368,28,39,327,303,26,791
ENSG00000142611.17,144,123,2941,125,79,1072,578,88,1367
ENSG00000283572.1,0,0,1,0,0,0,0,0,1
ENSG00000226286.1,0,0,7,1,0,7,4,0,4
ENSG00000279839.1,0,0,11,1,0,3,0,0,8
ENSG00000272235.1,3,10,82,1,2,41,3,4,32
ENSG00000287828.1,1,5,68,9,5,67,4,19,35
ENSG00000286518.1,0,1,5,1,0,10,4,2,15
ENSG00000130762.15,427,178,51,258,105,87,219,110,47
ENSG00000272088.1,1,8,0,0,4,2,3,2,0
ENSG00000162591.16,1638,8291,2258,870,6204,3106,2066,2745,949
ENSG00000207776.1,1,1,0,0,0,0,0,2,0
ENSG00000238260.1,10,4,0,4,3,0,8,1,0
ENSG00000158109.15,604,1160,1147,499,736,848,495,1058,680
ENSG00000116213.16,346,280,172,228,190,214,351,129,102
ENSG00000078900.15,41,3,13,9,3,7,33,3,5
ENSG00000227589.1,0,0,0,1,0,0,1,0,0
ENSG00000235131.1,0,0,1,0,0,0,0,0,0
ENSG00000227372.12,1055,958,1241,649,887,956,1269,661,602
ENSG00000276189.1,0,0,0,0,0,0,0,0,0
ENSG00000162592.10,25,15,78,5,8,39,44,31,40
ENSG00000235169.10,55,88,169,42,33,82,163,104,128
ENSG00000130764.10,1364,1578,2437,1389,1239,1967,1479,1279,1490
ENSG00000266075.2,2,2,11,1,3,4,1,0,2
ENSG00000272153.1,37,23,27,6,16,22,18,12,14
ENSG00000116198.14,560,680,897,470,492,883,524,348,521
ENSG00000169598.17,160,134,100,126,91,82,103,70,44
ENSG00000198912.11,446,392,220,271,313,327,365,225,109
ENSG00000236423.6,6,8,19,8,3,3,6,5,11
ENSG00000233304.7,0,0,0,1,0,0,0,0,0
ENSG00000226374.3,0,0,0,0,0,0,0,0,0
ENSG00000284668.2,0,0,0,2,0,0,0,0,0
ENSG00000284703.1,0,0,0,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,0,0,0,0
ENSG00000235054.4,0,0,0,0,0,0,1,0,0
ENSG00000284694.1,0,0,0,0,0,0,1,0,0
ENSG00000227169.2,0,0,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,1,0,0,2,0,0
ENSG00000196581.11,40,6,16,37,7,12,107,5,0
ENSG00000287586.1,0,0,0,0,0,0,2,0,0
ENSG00000284739.1,0,0,0,0,0,0,0,0,0
ENSG00000284674.1,0,0,0,1,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,0,0,0,0,0,0
ENSG00000284692.2,0,0,1,0,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,0,0,0,2,0,0
ENSG00000264341.1,0,0,0,0,2,0,0,0,0
ENSG00000264101.1,0,0,0,0,0,0,0,0,0
ENSG00000131697.18,447,246,254,179,218,231,587,106,72
ENSG00000069424.15,179,169,110,62,108,112,333,34,29
ENSG00000116254.18,18,20,19,9,27,30,26,5,1
ENSG00000285629.1,0,0,1,1,0,0,0,0,0
ENSG00000116251.11,3827,2270,2678,2620,1813,1835,3136,1756,1376
ENSG00000226944.1,3,20,14,1,19,9,9,19,7
ENSG00000158286.13,704,2006,3125,660,2883,1571,962,1422,2017
ENSG00000116237.16,1669,2175,2828,2211,1669,3028,1823,1577,1501
ENSG00000225077.3,10,7,3,14,4,9,9,5,6
ENSG00000173673.8,4,0,0,0,0,0,2,0,0
ENSG00000158292.7,260,350,718,107,226,535,628,287,338
ENSG00000097021.19,447,1516,688,1416,779,1593,814,1130,338
ENSG00000271746.1,0,0,0,0,0,0,0,0,0
ENSG00000069812.11,13,0,0,8,0,9,3,0,0
ENSG00000187017.17,103,1,3,6,0,1,21,7,0
ENSG00000265392.1,0,0,0,1,0,0,0,0,0
ENSG00000231868.1,0,0,0,0,0,0,0,0,0
ENSG00000215788.11,200,159,89,49,81,172,244,225,79
ENSG00000171680.23,725,1039,401,353,372,774,1073,2153,356
ENSG00000162408.11,434,531,978,533,418,939,478,358,516
ENSG00000253022.1,0,0,0,0,0,1,0,0,0
ENSG00000229519.2,11,1,10,0,3,3,6,3,4
ENSG00000173662.21,2,1,2,5,1,1,2,1,10
ENSG00000204859.13,341,299,386,171,221,322,323,143,218
ENSG00000162413.16,1134,3776,3710,2136,2107,4470,1500,5138,2676
ENSG00000116273.6,1125,1122,1332,789,887,1249,1331,955,713
ENSG00000041988.15,245,225,182,175,148,183,273,129,142
ENSG00000007923.16,827,989,1073,798,700,1273,699,800,866
ENSG00000228750.7,0,0,0,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,4,0,1,0,0,0
ENSG00000237436.1,17,25,11,11,15,3,44,6,8
ENSG00000171735.19,892,733,879,858,526,1096,1446,822,736
ENSG00000227950.1,0,0,0,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0,0,0,0
ENSG00000237402.1,0,0,1,3,5,0,0,1,1
ENSG00000237728.2,0,0,0,0,0,0,2,0,0
ENSG00000225126.1,0,0,0,0,0,0,0,0,0
ENSG00000270171.1,2,3,0,1,0,1,23,0,0
ENSG00000270035.1,4,3,0,2,0,0,8,0,0
ENSG00000269978.1,7,1,0,2,0,2,24,0,0
ENSG00000049245.13,1370,2279,1851,1637,2022,2210,1539,1851,1095
ENSG00000269925.1,4,15,15,7,13,14,10,9,7
ENSG00000049246.14,157,80,221,28,102,73,214,50,130
ENSG00000236266.1,1,0,1,0,0,1,4,0,0
ENSG00000049247.14,0,1,0,3,0,0,4,1,0
ENSG00000049249.9,15,265,21,66,141,59,44,158,10
ENSG00000270330.1,0,0,0,0,0,0,0,0,0
ENSG00000116288.13,2976,2693,3837,3429,1875,4458,3149,2404,2532
ENSG00000200344.1,0,0,0,0,1,1,0,1,0
ENSG00000284747.1,6,5,3,6,2,10,5,1,2
