gene_id,rep1_d_13,rep1_d_20,rep1_d_30
ENSG00000227232.5,176,45,84
ENSG00000278267.1,10,4,8
ENSG00000243485.5,4,0,3
ENSG00000233750.3,12,0,4
ENSG00000268903.1,52,24,35
ENSG00000269981.1,51,33,32
ENSG00000239906.1,7,0,5
ENSG00000241860.7,5,6,2
ENSG00000279457.4,168,91,158
ENSG00000228463.10,4,6,2
ENSG00000236679.2,0,0,1
ENSG00000237094.12,47,26,47
ENSG00000250575.1,1,1,4
ENSG00000278757.1,1,0,0
ENSG00000230021.10,12,16,24
ENSG00000225972.1,1,9,2
ENSG00000225630.1,2030,3324,3713
ENSG00000237973.1,913,993,1765
ENSG00000229344.1,1,4,16
ENSG00000248527.1,3369,12635,5183
ENSG00000198744.5,10,10,11
ENSG00000229376.3,0,4,0
ENSG00000228327.3,138,54,126
ENSG00000223181.1,1,0,1
ENSG00000237491.10,50,28,38
ENSG00000230092.7,3,7,9
ENSG00000177757.2,1,3,9
ENSG00000228794.10,419,521,912
ENSG00000225880.5,28,35,10
ENSG00000288531.1,0,3,0
ENSG00000272438.1,40,9,8
ENSG00000230699.2,144,40,45
ENSG00000241180.1,1,0,2
ENSG00000223764.2,313,71,141
ENSG00000187634.12,487,113,462
ENSG00000188976.11,1782,1836,2283
ENSG00000187961.14,430,277,111
ENSG00000187583.11,23,11,0
ENSG00000187642.9,1,0,1
ENSG00000272512.1,25,74,14
ENSG00000188290.11,722,1606,527
ENSG00000187608.10,268,561,360
ENSG00000231702.2,4,0,3
ENSG00000224969.1,15,3,6
ENSG00000188157.15,8614,28011,13590
ENSG00000217801.10,41,21,2
ENSG00000273443.1,1,0,3
ENSG00000237330.3,4,4,1
ENSG00000131591.17,355,338,236
ENSG00000285812.1,12,8,11
ENSG00000223823.1,0,0,1
ENSG00000198976.1,4,0,0
ENSG00000272141.1,18,1,0
ENSG00000205231.1,8,0,0
ENSG00000162571.14,15,0,0
ENSG00000186891.14,6,8,1
ENSG00000186827.11,1,2,1
ENSG00000078808.18,2328,4509,3201
ENSG00000176022.7,774,1344,1245
ENSG00000184163.3,48,32,44
ENSG00000260179.1,5,4,11
ENSG00000160087.21,985,1265,1244
ENSG00000230415.1,23,6,20
ENSG00000162572.21,148,75,85
ENSG00000131584.19,1109,1604,1326
ENSG00000169972.12,235,317,262
ENSG00000127054.21,1670,1345,1794
ENSG00000240731.1,41,7,21
ENSG00000224051.7,342,638,640
ENSG00000169962.5,9,15,27
ENSG00000107404.20,1345,1006,1341
ENSG00000162576.17,1629,1516,1391
ENSG00000175756.13,1388,1511,1547
ENSG00000221978.12,5552,3630,2071
ENSG00000224870.7,439,278,281
ENSG00000242485.6,1032,910,1208
ENSG00000272455.1,155,79,52
ENSG00000235098.8,50,4,0
ENSG00000225905.1,4,1,0
ENSG00000205116.3,13,9,4
ENSG00000225285.1,43,9,28
ENSG00000179403.12,525,411,294
ENSG00000215915.10,15,0,5
ENSG00000160072.20,811,736,519
ENSG00000284740.1,12,1,4
ENSG00000197785.14,821,892,1009
ENSG00000205090.9,80,82,132
ENSG00000160075.12,1568,2360,2694
ENSG00000215014.5,12,28,24
