Sample,condition,group
heart18_0,18,0
heart18_2,18,2
heart18_4,18,4
heart18_6,18,6
heart18_10,18,10
heart18_15,18,15
heart18_20,18,20
heart18_40,18,40
heart18_60,18,60
heart28_0,28,0
heart28_2,28,2
heart28_4,28,4
heart28_10,28,10
heart28_15,28,15
heart28_20,28,20
heart28_40,28,40
heart28_60,28,60
heart30_0,30,0
heart30_2,30,2
heart30_4,30,4
heart30_6,30,6
heart30_10,30,10
heart30_15,30,15
heart30_20,30,20
heart30_40,30,40
heart30_60,30,60
heart32_0,32,0
heart32_2,32,2
heart32_4,32,4
heart32_6,32,6
heart32_15,32,15
heart32_20,32,20
heart32_40,32,40
heart32_60,32,60
heart41_0,41,0
heart41_2,41,2
heart41_4,41,4
heart41_6,41,6
heart41_10,41,10
heart41_15,41,15
heart41_20,41,20
heart41_40,41,40
heart42_0,42,0
heart42_2,42,2
heart42_4,42,4
heart42_6,42,6
heart42_10,42,10
heart42_15,42,15
heart42_20,42,20
heart42_40,42,40
heart42_60,42,60
