gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000000003,41.11,71.08,101.16,76.73,50.63,37.15,28.41,26.15,20.64
ENSG00000000005,1.86,6.47,3.52,0.09,0.0,0.22,1.15,12.8,24.21
ENSG00000000419,90.85,69.93,69.82,60.48,43.29,42.68,52.27,36.74,42.7
ENSG00000000457,2.53,4.06,5.69,6.47,5.77,3.8,5.69,3.83,3.6
ENSG00000000460,15.77,17.12,18.52,11.63,3.33,1.34,4.11,3.47,1.76
ENSG00000000938,0.18,0.13,0.13,0.1,0.14,0.06,0.02,0.0,0.15
ENSG00000000971,0.08,0.0,0.03,0.0,0.08,1.19,0.85,2.65,30.7
ENSG00000001036,40.5,66.03,62.17,51.73,41.12,26.75,58.61,24.01,34.05
ENSG00000001084,52.33,37.87,46.99,38.22,27.25,22.7,29.79,29.02,25.55
ENSG00000001167,20.5,22.19,34.66,22.26,18.26,12.1,10.41,13.46,12.45
ENSG00000001460,8.41,7.8,10.23,5.83,6.57,5.34,4.47,4.18,6.13
ENSG00000001461,2.72,2.19,7.58,8.93,10.06,10.73,15.2,20.53,23.14
ENSG00000001497,56.32,63.25,59.91,44.69,31.66,16.91,19.32,11.69,10.43
ENSG00000001561,3.23,0.7,1.66,2.73,2.99,4.86,3.99,6.69,8.16
ENSG00000001617,14.06,34.24,45.08,24.07,24.13,6.86,3.93,3.34,9.83
ENSG00000001626,0.83,0.25,0.35,1.61,0.77,0.55,0.31,0.02,0.11
ENSG00000001629,33.55,12.95,39.18,24.41,19.15,22.1,17.37,21.77,32.46
ENSG00000001630,81.28,43.75,58.08,53.63,63.64,51.17,72.82,49.27,56.06
ENSG00000001631,39.53,22.38,29.84,26.18,27.34,24.37,26.05,17.39,24.71
ENSG00000002016,4.16,7.61,7.86,7.39,8.14,9.55,8.18,5.75,7.55
ENSG00000002079,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.01
ENSG00000002330,5.35,22.23,18.4,21.63,33.01,18.67,40.93,36.87,44.75
ENSG00000002549,46.09,45.13,42.26,43.42,57.82,42.54,56.93,23.2,22.22
ENSG00000002586,114.29,109.98,284.52,626.94,466.99,302.53,306.15,166.44,316.33
ENSG00000002587,0.38,3.07,1.07,1.76,1.28,0.07,0.07,0.08,0.38
ENSG00000002726,0.08,0.0,0.03,0.05,0.02,0.0,0.0,0.0,0.56
ENSG00000002745,0.13,0.0,0.26,0.05,0.28,0.04,0.0,0.0,0.02
ENSG00000002746,3.44,0.23,0.39,0.01,0.23,0.22,0.0,0.04,0.01
ENSG00000002822,16.47,24.88,17.39,12.51,13.78,13.46,16.69,15.64,15.62
ENSG00000002834,127.3,87.4,96.72,84.2,64.45,47.26,43.45,21.16,100.11
ENSG00000002919,8.14,11.33,12.97,12.9,10.23,5.86,19.28,10.34,11.16
ENSG00000002933,0.17,0.2,0.43,3.44,24.0,29.29,25.93,44.5,111.67
ENSG00000003056,120.65,96.36,88.14,81.44,73.28,80.6,77.83,55.15,57.27
ENSG00000003096,10.2,6.85,8.71,18.84,9.77,11.0,25.02,26.0,20.1
ENSG00000003137,0.12,0.17,0.42,0.16,0.69,0.93,2.12,3.15,2.71
ENSG00000003147,37.97,9.04,16.54,8.63,14.17,12.7,12.93,10.43,23.05
ENSG00000003249,17.46,11.63,6.74,2.05,3.0,2.87,1.95,4.91,6.78
ENSG00000003393,39.32,17.06,33.4,36.46,20.81,24.15,43.94,33.75,25.78
ENSG00000003400,1.42,3.28,3.15,2.18,0.86,0.32,0.41,0.51,1.06
ENSG00000003402,3.37,9.52,11.21,10.69,11.22,12.03,21.86,14.25,16.16
ENSG00000003436,5.24,4.59,72.57,38.72,29.89,26.47,13.52,4.82,32.61
ENSG00000003509,59.09,30.35,32.45,20.22,21.83,20.11,18.81,16.82,16.74
ENSG00000003756,69.93,61.21,112.93,113.09,112.79,126.98,82.16,86.88,108.8
ENSG00000003987,5.63,0.66,2.59,0.34,0.66,0.37,0.43,1.55,2.9
ENSG00000003989,8.23,5.84,81.3,42.04,27.25,16.91,9.75,20.16,25.79
ENSG00000004059,112.36,209.67,157.89,152.28,103.28,72.41,87.77,72.62,86.09
ENSG00000004139,3.28,5.47,2.63,3.61,3.51,2.21,2.86,3.62,3.06
ENSG00000004142,43.07,78.76,71.04,79.09,75.41,58.13,97.23,63.06,66.61
ENSG00000004399,24.33,73.41,69.81,29.57,65.06,29.48,12.26,15.18,38.17
ENSG00000004455,105.02,102.25,96.35,88.97,149.21,161.19,129.08,135.54,133.2
ENSG00000004468,0.11,0.06,0.29,0.2,0.19,0.12,0.15,0.02,0.51
ENSG00000004478,139.53,165.98,102.5,60.8,93.71,63.94,87.5,57.91,52.29
ENSG00000004487,220.77,223.14,215.89,162.89,153.71,82.66,71.56,62.27,65.98
ENSG00000004534,85.97,64.26,69.95,70.24,51.76,46.03,39.77,35.66,40.32
ENSG00000004660,1.86,1.91,2.55,2.06,4.2,3.44,1.44,5.37,12.54
ENSG00000004700,37.04,21.69,41.49,23.72,14.52,10.52,14.86,9.85,19.55
ENSG00000004766,12.76,3.54,9.95,8.77,11.73,11.83,14.42,16.73,17.01
ENSG00000004776,0.54,0.21,0.13,0.22,0.52,1.51,1.53,6.22,17.26
ENSG00000004777,10.77,10.55,10.87,14.61,10.45,6.09,11.25,8.05,14.42
ENSG00000004779,88.88,130.86,109.9,124.56,161.01,113.27,170.9,145.98,112.11
ENSG00000004799,0.14,0.1,0.03,0.22,0.35,0.17,0.17,0.22,3.62
ENSG00000004809,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.09,0.08
ENSG00000004838,0.1,0.34,0.54,1.03,0.51,0.1,0.26,0.97,0.86
ENSG00000004846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004848,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.0
ENSG00000004864,74.14,80.73,61.36,48.96,34.83,28.79,27.71,24.93,8.16
ENSG00000004866,15.91,8.15,9.84,48.75,50.51,52.75,32.86,31.72,31.01
ENSG00000004897,100.32,52.83,85.1,100.49,71.87,57.7,119.71,64.97,73.38
ENSG00000004939,0.0,0.05,0.0,0.0,0.08,0.0,0.0,0.0,0.0
ENSG00000004948,0.82,6.28,0.46,0.17,0.03,0.05,0.02,0.0,0.0
