gene_id,d0,d2,d4,d6,d10,d15,d20,d40
ENSG00000000003,50.43,82.54,77.94,67.38,66.74,44.83,37.53,45.77
ENSG00000000005,2.88,6.64,0.9,0.0,0.2,0.48,0.7,6.23
ENSG00000000419,68.74,81.04,53.48,47.88,40.68,36.55,37.84,41.31
ENSG00000000457,3.95,5.21,7.5,8.23,4.82,4.77,4.27,5.56
ENSG00000000460,17.08,24.41,14.52,9.64,2.68,4.37,6.21,5.62
ENSG00000000938,0.48,0.16,0.0,0.04,0.19,0.07,0.04,0.12
ENSG00000000971,0.06,0.0,0.02,0.0,0.0,0.0,1.53,77.99
ENSG00000001036,46.3,47.85,52.46,43.07,35.35,32.87,51.92,50.92
ENSG00000001084,38.82,31.88,34.59,39.49,26.95,27.65,22.19,25.7
ENSG00000001167,26.9,32.58,41.1,37.94,20.32,11.62,17.91,29.91
ENSG00000001460,9.99,9.32,8.17,9.88,7.46,6.33,6.43,6.29
ENSG00000001461,4.01,2.34,8.32,8.17,10.56,11.41,18.95,25.41
ENSG00000001497,66.4,60.73,52.71,60.35,29.81,25.59,25.64,27.34
ENSG00000001561,2.01,1.13,0.8,1.69,3.03,2.92,3.46,3.3
ENSG00000001617,34.25,31.26,54.77,33.67,12.85,4.81,21.23,56.43
ENSG00000001626,0.28,0.5,0.14,0.9,4.16,3.03,2.83,2.08
ENSG00000001629,31.95,28.5,30.71,26.43,16.69,12.82,21.9,36.24
ENSG00000001630,79.41,70.27,46.65,65.85,92.15,64.25,69.4,33.09
ENSG00000001631,29.59,28.64,38.56,33.02,22.2,19.97,23.47,25.57
ENSG00000002016,10.17,6.04,17.76,18.78,13.09,5.52,7.84,9.81
ENSG00000002079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002330,17.5,15.74,20.01,29.26,29.54,44.8,40.43,64.61
ENSG00000002549,50.36,43.4,30.38,41.8,50.15,53.2,49.51,43.9
ENSG00000002586,113.2,84.06,336.57,519.47,456.29,365.63,340.15,543.82
ENSG00000002587,0.38,0.69,3.08,4.01,0.51,0.04,0.23,2.64
ENSG00000002726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
ENSG00000002745,0.24,0.0,0.53,0.07,0.05,0.0,0.14,0.06
ENSG00000002746,3.41,0.6,0.13,0.01,0.19,0.09,0.02,0.98
ENSG00000002822,13.87,14.05,17.23,16.47,11.77,11.31,10.27,16.62
ENSG00000002834,114.36,90.85,71.74,68.24,53.54,29.37,88.1,146.37
ENSG00000002919,16.6,11.61,11.21,12.24,10.24,13.15,13.03,8.12
ENSG00000002933,0.91,0.27,0.82,2.11,12.1,12.29,52.77,103.07
ENSG00000003056,93.01,87.19,96.46,88.34,85.68,56.14,66.1,67.65
ENSG00000003096,12.49,6.87,6.03,15.0,12.62,11.98,9.82,12.04
ENSG00000003137,0.22,0.69,0.27,0.17,0.49,0.44,12.78,0.61
ENSG00000003147,37.42,5.7,17.51,6.42,8.58,11.45,17.16,6.87
ENSG00000003249,27.42,9.28,2.6,1.76,2.66,3.08,3.35,1.88
ENSG00000003393,27.59,27.56,29.09,26.98,19.22,18.22,30.48,28.26
ENSG00000003400,1.55,2.69,3.21,1.49,0.5,0.45,1.6,2.27
ENSG00000003402,4.64,8.66,7.25,8.53,11.09,9.95,18.04,12.26
ENSG00000003436,1.52,8.53,43.42,53.58,28.25,7.69,15.77,31.59
ENSG00000003509,57.31,32.11,30.78,27.32,24.6,16.97,21.6,14.11
ENSG00000003756,59.32,84.49,164.84,190.96,136.06,99.48,98.8,153.9
ENSG00000003987,5.08,1.0,1.18,0.43,0.26,0.16,1.21,3.18
ENSG00000003989,10.39,13.01,153.19,38.03,26.44,11.28,9.56,6.71
ENSG00000004059,134.17,123.89,169.92,132.76,78.86,94.71,107.01,163.03
ENSG00000004139,6.46,5.58,2.57,3.87,2.35,4.03,3.89,13.86
ENSG00000004142,68.09,64.19,68.4,71.79,76.83,77.84,77.87,65.9
ENSG00000004399,47.61,69.32,43.85,34.28,35.36,15.94,33.88,102.78
ENSG00000004455,112.45,108.63,79.9,94.57,135.36,116.63,149.22,88.92
ENSG00000004468,0.42,0.2,0.05,0.11,0.17,0.05,0.55,0.35
ENSG00000004478,196.59,157.1,81.96,100.1,92.93,67.19,74.54,50.71
ENSG00000004487,252.47,227.17,212.23,230.72,141.9,110.1,108.58,105.53
ENSG00000004534,90.18,71.48,103.93,122.38,75.75,38.71,52.08,69.01
ENSG00000004660,4.45,1.74,1.8,2.45,4.38,4.11,2.96,5.02
ENSG00000004700,30.37,49.38,26.57,21.92,12.58,9.53,20.66,22.78
ENSG00000004766,5.88,7.0,8.36,11.7,11.22,8.37,10.53,15.29
ENSG00000004776,0.16,0.12,0.48,0.33,0.43,0.17,1.02,17.55
ENSG00000004777,18.84,13.19,18.73,27.05,13.66,21.8,13.49,14.93
ENSG00000004779,120.39,120.81,82.82,106.67,139.2,124.81,156.87,58.8
ENSG00000004799,0.02,0.09,0.21,0.0,0.11,0.15,0.42,1.51
ENSG00000004809,0.0,0.0,0.0,0.0,0.16,0.04,0.0,1.94
ENSG00000004838,0.26,0.66,0.5,0.32,0.33,0.97,1.18,0.84
ENSG00000004846,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.33
ENSG00000004848,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004864,72.95,106.04,51.3,49.14,35.1,32.23,32.09,24.48
ENSG00000004866,11.51,6.42,22.36,65.98,63.96,46.27,44.5,29.52
ENSG00000004897,88.7,67.48,93.94,114.39,63.84,93.93,81.66,70.49
ENSG00000004939,0.25,0.0,0.0,0.06,0.02,0.0,0.54,0.0
ENSG00000004948,1.43,6.48,0.39,0.05,0.0,0.0,0.1,0.0
ENSG00000004961,33.33,27.85,24.56,31.57,31.36,32.91,45.94,22.33
ENSG00000004975,38.26,45.94,58.81,58.13,48.56,35.58,39.61,37.67
ENSG00000005001,1.13,0.85,0.0,0.47,0.19,0.0,0.0,0.0
ENSG00000005007,49.87,33.84,44.17,40.24,30.44,28.59,37.7,37.86
ENSG00000005020,4.71,8.02,6.44,4.2,5.83,4.52,4.51,2.77
ENSG00000005022,450.89,361.82,253.76,316.61,593.14,574.45,454.85,264.06
ENSG00000005059,7.8,10.77,4.54,3.09,2.79,1.79,4.02,9.31
ENSG00000005073,0.0,0.0,0.0,0.04,0.06,0.0,0.0,0.0
ENSG00000005075,52.37,45.37,49.45,46.8,30.6,40.63,39.94,42.67
ENSG00000005100,39.9,30.67,20.98,17.77,12.56,8.31,11.64,17.14
ENSG00000005102,0.0,0.07,1.05,0.58,0.12,0.14,1.27,3.37
ENSG00000005108,1.0,0.72,2.66,2.8,0.7,2.18,0.64,6.89
ENSG00000005156,71.16,68.85,61.97,82.73,44.83,35.38,28.95,31.92
ENSG00000005175,33.79,59.14,29.93,33.87,37.83,25.34,29.0,16.86
ENSG00000005187,4.79,3.85,3.19,2.14,4.13,1.33,4.01,2.72
ENSG00000005189,6.12,6.3,6.56,6.46,5.45,17.58,8.51,2.52
ENSG00000005194,74.83,58.28,57.51,72.99,86.05,76.99,73.73,52.26
ENSG00000005206,31.7,22.76,53.76,61.35,38.2,29.66,39.21,39.08
ENSG00000005238,4.59,8.28,24.3,17.24,14.59,12.24,20.57,10.29
ENSG00000005243,0.27,0.47,0.8,4.4,4.99,9.08,17.96,104.45
ENSG00000005249,21.05,9.8,5.96,11.38,28.0,48.17,21.73,14.22
ENSG00000005302,13.06,18.21,19.08,19.88,16.54,14.19,19.57,24.93
ENSG00000005339,21.79,28.01,40.66,44.02,24.25,22.96,32.75,40.86
ENSG00000005379,10.89,5.77,33.48,29.88,38.7,20.62,14.83,37.11
ENSG00000005381,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
ENSG00000005421,0.7,0.23,0.0,0.0,0.53,0.0,0.0,0.14
ENSG00000005436,11.89,16.0,13.67,13.35,15.87,7.72,11.57,14.98
ENSG00000005448,46.18,27.48,33.58,35.69,30.71,28.68,20.13,11.77
ENSG00000005469,1.85,2.93,3.29,4.45,7.0,5.48,5.67,10.5
ENSG00000005471,0.84,0.88,1.1,4.74,2.07,3.71,9.55,6.52
ENSG00000005483,23.21,34.07,42.26,40.02,42.47,31.7,36.5,38.16
ENSG00000005486,25.86,32.3,45.79,44.7,45.22,41.47,58.03,36.48
ENSG00000005513,6.19,1.85,2.25,3.29,10.08,1.19,5.15,8.97
ENSG00000005700,12.78,18.08,10.78,16.87,21.38,16.04,19.67,16.4
ENSG00000005801,50.97,42.12,34.79,26.05,23.17,16.16,17.05,16.06
ENSG00000005810,17.18,18.4,18.15,20.67,20.68,15.59,16.87,23.06
ENSG00000005812,5.54,8.35,10.61,8.1,8.72,8.03,10.46,21.79
ENSG00000005844,0.05,1.21,0.0,0.09,0.05,0.0,0.0,0.08
ENSG00000005882,17.42,18.6,38.46,43.27,56.54,82.22,56.32,74.48
ENSG00000005884,17.99,7.68,7.54,23.34,17.31,19.8,178.01,288.21
