gene_id,heart18_0,heart18_2,heart18_4,heart18_6,heart18_10,heart18_15,heart18_20,heart18_40,heart18_60
ENSG00000000003,1794,1717,2356,2433,1429,1749,1103,860,775
ENSG00000000005,15,18,3,0,0,2,2,44,115
ENSG00000000419,1400,1211,915,852,571,697,856,613,584
ENSG00000000457,108,239,442,398,246,358,283,329,292
ENSG00000000460,668,538,388,434,147,177,270,140,93
ENSG00000000938,7,2,1,0,0,1,0,0,2
ENSG00000000971,1,2,2.38,2,3,199.81,122,7719,9510.99
ENSG00000001036,1865,1486,2006,1612,1440,1880,2059,1415,1460
ENSG00000001084,1749,910,845,702,411,484,556,518,553
ENSG00000001167,1228,1165,1601,1343,1278,1389,968,893,694
ENSG00000001460,119,252,255,196,262,208,134,171,171
ENSG00000001461,327,107,445,660,1130,1556,991,1283,1184
ENSG00000001497,1868,1763,1885,1330,872,828,839,638,548
ENSG00000001561,191,133,122,191,137,281,367,259,341
ENSG00000001617,747,1951,1773,847,648,498,120,196,197
ENSG00000001626,49,3,13,57,120,112,26,53,30
ENSG00000001629,1995,1352,1685,1656,1504,1562,1427,1744,1712
ENSG00000001630,7090.13,2836.89,1798.93,3469.42,3313.84,3172.79,4518.42,2407.73,1544.44
ENSG00000001631,1097,889.45,958.44,1117.24,900.21,986.24,952,775.46,802.47
ENSG00000002016,155,160.1,261,243,241,260,197.37,211,219.98
ENSG00000002079,1,0,0,0,0,0,5,0,0
ENSG00000002330,176,281,338,357,538,704,520,606,484
ENSG00000002549,1528,1309,1215,1391,1103,1311,1979,1045,945
ENSG00000002586,1026,2365,10910,13600,9859,7667,5947,7515,7372
ENSG00000002587,0,0,0,0,1,0,0,0,0
ENSG00000002726,4,1,4,4,5,12,0,0,2
ENSG00000002745,17,2,8,5,3,3,9,0,0
ENSG00000002746,243,40,15,3,18,27,10,57,68
ENSG00000002822,413,582,542,437,305,399,310,288,271
ENSG00000002834,7896,6973,6326,7556,7686,5909,7322,7770,6528
ENSG00000002919,373,357,360,320,261,376,445,384,379
ENSG00000002933,4,3,2,10,124,534,357,1156,1519
ENSG00000003056,3259,2719,2921,2585,1938,2184,2814,2072,1864
ENSG00000003096,391,225,198,250,171,172,1085,1420,846
ENSG00000003137,3,2,4,2,8,26,57,64,21
ENSG00000003147,789,261,495,294,416,505,287,537,443
ENSG00000003249,1463,986,626,135,229,360,248,234,148
ENSG00000003393,1695,1732,1797,2015,1562,1790,2082,2343,1477
ENSG00000003400,154,191,239,106.05,106,146,45,55,58
ENSG00000003402,210,826,534,950,1148,1249.54,1191,1356,1464
ENSG00000003436,80.51,100,481,2562,2451,3110,1004,842,861
ENSG00000003509,816,524,503,412,376,485,479,330,337
ENSG00000003756,1561,2014,4169,3824.06,4209,3827,2099,3490.01,3028.84
ENSG00000003987,284,89,100,54,149,104,70,118,143
ENSG00000003989,1374,569,6587,5484,9142,3094,2164,735,1022
ENSG00000004059,1321.46,1994.64,2435.71,1678.71,1637,1432,1039.35,1297.71,1063
ENSG00000004139,244.26,199.33,81.86,258.49,450.96,457.51,308.7,461.41,552.22
ENSG00000004142,2243,2231,2130,2165,2217,2262,3026,2201,1757
ENSG00000004399,882,1952,2869,1970,2642,3010,1449,2592,2338
ENSG00000004455,2370.84,2060.96,2177.88,1794.99,1834.93,2111,2321.2,1701,1481.29
ENSG00000004468,9,10,5,4,0,1,3,1,4
ENSG00000004478,9795,5825,3830,2456,2781,3000,4239,1956,1217
ENSG00000004487,8625,6857,7475,5872,4475,4641,3491,2891,1978
ENSG00000004534,2892,3069,3925,2999.94,2470,2296,1704,2216.99,1866.16
ENSG00000004660,154,123,160,82,121,151,125,305,333
ENSG00000004700,1856,1776,1111,1600,977,1150,1342,834,967
ENSG00000004766,343,227,320,512,519,632,674,584,609
ENSG00000004776,3,3,14,21,65,197,106,715,1821
ENSG00000004777,426,363,577,497,511,412,348,407,315
ENSG00000004779,1431,1141,1086,1055,1022,1296,1492,929,726
ENSG00000004799,1,8,35,42,201,169,12,165,204
ENSG00000004809,0,2,1,0,0,1,2,0,1
ENSG00000004838,2,12,5,5,9,7,6,12,14
ENSG00000004846,0,0,2,0,0,0,0,0,0
ENSG00000004848,0,0,0,0,0,0,0,0,0
ENSG00000004864,3705,4420,2066,1858,1184,1279,1626,805,626
ENSG00000004866,495,252,318,1025.47,824.21,1036,999.89,805.97,687.96
ENSG00000004897,2568.79,1980,1885,3437,2402,2614,4502,2270,2109
ENSG00000004939,2,2,0,3,0,0,0,0,0
ENSG00000004948,104,1114,37,7,4,0,1,1,1
ENSG00000004961,935,696,637,748,500,817,1658,791,646
ENSG00000004975,967,1422,1921,1249,1345,1485,1094,1463,1246
ENSG00000005001,15,37,27,4,6,4,12,0,0
ENSG00000005007,3143,2730,3304,2695,2379,2567,2746,2574,2496
ENSG00000005020,138,188,107,156,158,182,149,95,69
ENSG00000005022,7768,5552,5876,5032.99,4984,6827,7860,3870,2717
ENSG00000005059,574,303,136,271,129,89,226,58,51
ENSG00000005073,0,0,0,0,6,5,3,3,6
ENSG00000005075,442.04,634.52,623.16,465.64,399.11,430.42,529.99,432.36,379
ENSG00000005100,3746,2132,1627,1017,665,663,816,632,582
ENSG00000005102,1,1,7,10,104,36,40,42,17
ENSG00000005108,33,76,57,369,331,341,160,145,140
ENSG00000005156,3158,2630,3017,1899,1415,1262,1227,1092,872.03
ENSG00000005175,1848,1073,959,1349,848,1107,1373,749,697
ENSG00000005187,28,37,189,101,68,165,43,38,15
ENSG00000005189,87,144,150,118,166,208,470,391,249
ENSG00000005194,1593,1496,1762,1697,1216,1411,1845,1048,885
ENSG00000005206,457,638,1355,951,902,864,491,644,651
ENSG00000005238,140,362,488,685,715,845,948,676,464
ENSG00000005243,3,7,18,93,270,473,319,1087,1369
ENSG00000005249,1254,265,274,579,794,1129,732,536,559
ENSG00000005302,462,501,657,703,617,856.58,736.84,626,579.77
ENSG00000005339,3821,3219,3439,3644,3121,2992,3000,4707,4400
ENSG00000005379,99,184,603,422,723,595,107,631,488
ENSG00000005381,1,0,1,0,0,0,0,0,0
ENSG00000005421,0,1,0,0,2,0,0,0,0
ENSG00000005436,519,440,400,552,507,425,416,377,389
ENSG00000005448,326,385,646,295,209,306,125,136,87
ENSG00000005469,66,74,127,94,130,253,213,240,302
ENSG00000005471,22.46,22,37,73,136,150.66,194,143.89,86
ENSG00000005483,1599,2186,2630,3276,3200,3274,2390,3112,3173
ENSG00000005486,529,802,1088,895,971,1178,916,850,807
ENSG00000005513,282,74,51,54,185,102,30,26,47
ENSG00000005700,1814,1406,1064,2031,1782,2075,3024,1931,1889
ENSG00000005801,1923,1366,952,796,429,548,568,369,336
