gene_id,heart41_0,heart41_2,heart41_4,heart41_6,heart41_10,heart41_15,heart41_20,heart41_40
ENSG00000000003,1450,2300,2346,1896,2386,1256,913,1430
ENSG00000000005,31,76,10,0,4,8,10,101
ENSG00000000419,909,1058,656,583,659,446,428,546
ENSG00000000457,166,222,353,357,292,211,182,284
ENSG00000000460,550,762,439,316,111,128,133,167
ENSG00000000938,14,5,0,1,7,2,1,4
ENSG00000000971,3.45,0,1,0,0,0,58,3854.86
ENSG00000001036,1437,1351,1458,1253,1140,893,1215,1532
ENSG00000001084,907,808,700,722,730,529,352,605
ENSG00000001167,1096,1453,1708,1561,1086,466,702,1319
ENSG00000001460,287,242,256,285,280,183,162,229
ENSG00000001461,225,124,442,491,760,666,882,1657
ENSG00000001497,2107,1886,1698,1847,1142,727,670,864
ENSG00000001561,128,69,51,102,227,177,182,217
ENSG00000001617,1376,1282,2525,1466,735,223,728,2477
ENSG00000001626,9,4,5,54.64,315,160,97,89
ENSG00000001629,1416,1413,1375,1117,1098,599,894,1520
ENSG00000001630,3041.76,2714.9,1798.88,2487.13,4433.59,2387.42,2357.58,1356.72
ENSG00000001631,631.24,909.03,835.26,667.39,776.84,438.28,504.22,568.02
ENSG00000002016,165,118,272,275,374.15,111.54,146,187.34
ENSG00000002079,0,0,0,0,0,0,0,0
ENSG00000002330,225,168,229,302,399,493,394,754
ENSG00000002549,1245,1002,768,1002,1373,1210,1009,1080
ENSG00000002586,1741,1253,5050,7487,8140,5316,4274,8639
ENSG00000002587,16,74,214,175,65,4,9,115
ENSG00000002726,0,0,0,0,0,0,0,2
ENSG00000002745,7,0,18,1,1,0,5,1
ENSG00000002746,164,13,10,1,6,6,1,22
ENSG00000002822,397,421,499,376,350,244,226,378
ENSG00000002834,6097,4638,3825,3432,3352,1487,3845,8046
ENSG00000002919,430,269,282,300,302,288,281,223
ENSG00000002933,8,3,8,22,175,145,551,1406
ENSG00000003056,2105,2163,2046,1980,2388,1401,1349,1552
ENSG00000003096,461,261,239,540,595,426,323,455
ENSG00000003137,12,22,16,9,24,25,637,40
ENSG00000003147,730,127,318,115,227,187,256,137
ENSG00000003249,766,238,70,46,88,81,79,51
ENSG00000003393,1908,1691,1844,1667,1617,1123,1349,1540
ENSG00000003400,65,125,160,73,32.15,10,57,105
ENSG00000003402,147,230.93,291,330.92,577,472,612,692
ENSG00000003436,29.03,152.01,937,1156,698,158,320,854
ENSG00000003509,1030,540,475,465,540,337,351,273
ENSG00000003756,1604,2102.86,4327,4875,4581,2544.03,2285,4051.04
ENSG00000003987,217,42,37,16,9,8,43,131
ENSG00000003989,878,1225,13838,3307,2846,971,730,626
ENSG00000004059,1645.46,1453,1910.72,1446,1156,1044,1009.53,1978
ENSG00000004139,384.28,295.5,174.35,169.65,212.01,202.25,246.2,967.22
ENSG00000004142,1929,1749,1928,1920,2492,2073,1819,1928
ENSG00000004399,1728,2564,1806,1272,1706,622,1026,4799
ENSG00000004455,1819.45,1932.92,1428.2,1503,2508.18,1593.16,1911.71,1739.62
ENSG00000004468,16,2,3,8,7,1,25,20
ENSG00000004478,8706,6731,3353,4108,4772,2686,2659,2259
ENSG00000004487,10338,8905,8679,8793,6850,4303,3647,4482
ENSG00000004534,2846,2505.14,3495,3566,2812,1414.97,1478,2556.96
ENSG00000004660,211,80,85,108,246,183,117,247
ENSG00000004700,1133,1653,940,763,626,354,589,922
ENSG00000004766,227,261,299,335,528,331,392,467
ENSG00000004776,3,1,9,6,8,3,16,345
ENSG00000004777,730,414,671,728,439,668,359,471
ENSG00000004779,1034,1004,704,873,1413,1026,1115,527
ENSG00000004799,1,4,3,0,5,5,17,76
ENSG00000004809,0,0,0,0,1,1,0,17
ENSG00000004838,2,5,6,6,6,14,9,8
ENSG00000004846,0,0,0,0,0,0,1,27
ENSG00000004848,0,1,0,0,0,0,0,0
ENSG00000004864,2719,3779,2008,1656,1434,1063,1008,949
ENSG00000004866,343.49,176,661.19,1904.06,2342.98,1292.86,946,915
ENSG00000004897,1742,2207,1987,2166,2168,2173,1865,1630
ENSG00000004939,3,0,0,2,1,0,2,0
ENSG00000004948,45,282,12,1,0,0,4,0
ENSG00000004961,554,466,423,513,706,558,686,413
ENSG00000004975,1130,1462,1744,1737,1733,1010,967,1208
ENSG00000005001,12,11,0,6,4,0,0,0
ENSG00000005007,3430,2254,2784,2507,2345,1951,2028,2807
ENSG00000005020,151,283,207,134,196,156,160,76
ENSG00000005022,7141,5654,3554,4373,11251,7892,5821,3849
ENSG00000005059,178,309,87,89,68,47,84,189
ENSG00000005073,0,0,0,1,2,0,0,0
ENSG00000005075,611.18,509.37,570.98,515.79,419.2,448.24,384.64,515.33
ENSG00000005100,2628,2139,1345,1079,939,474,538,1030
ENSG00000005102,0,2,38,20,3,2,36,104
ENSG00000005108,45,103,245,286,122,114,68,579
ENSG00000005156,3120,2729,2497,2907,2182,1374.01,1033,1380
ENSG00000005175,989,1345,899,944,1165,702,698,497
ENSG00000005187,76,46,58,41,64,22,53,79
ENSG00000005189,155,163,157,206,205,515,217,94
ENSG00000005194,1465,1108.77,1315.93,1546,1798,1384,1260,1066.92
ENSG00000005206,739.13,537,1236.65,1360,1022,676,802,1057
ENSG00000005238,168,284,848,582,610,437,602,378
ENSG00000005243,3,4,8,29,50,77,133,958
ENSG00000005249,692,368,202,448,1271,1764,735,603
