gene_id,d0,d2,d4,d10,d15,d20,d40,d60
ENSG00000000003,34.43,69.06,110.72,56.43,53.5,31.66,23.72,31.49
ENSG00000000005,1.97,7.33,5.89,0.0,0.11,0.41,20.83,60.3
ENSG00000000419,69.63,90.35,87.03,38.04,40.61,43.36,33.2,39.61
ENSG00000000457,1.75,3.97,6.08,4.65,5.6,4.43,3.5,6.15
ENSG00000000460,13.93,24.62,25.54,1.69,6.17,2.3,2.43,5.04
ENSG00000000938,0.11,0.05,0.0,0.17,0.24,0.03,0.03,0.06
ENSG00000000971,0.13,0.24,0.0,0.0,2.65,28.3,48.28,56.61
ENSG00000001036,25.55,62.22,70.86,37.81,52.43,50.53,32.25,48.38
ENSG00000001084,33.45,41.68,37.27,30.8,26.8,23.84,27.06,32.42
ENSG00000001167,15.07,30.02,34.4,14.49,24.77,14.23,13.44,17.51
ENSG00000001460,6.23,7.58,7.16,7.87,6.75,4.8,5.03,5.8
ENSG00000001461,1.77,2.39,4.07,12.49,14.11,26.52,25.61,19.97
ENSG00000001497,45.35,63.74,60.33,31.79,27.24,17.23,10.21,17.13
ENSG00000001561,2.08,1.71,3.33,2.59,2.22,2.95,4.6,5.98
ENSG00000001617,13.43,52.4,33.32,14.94,18.16,6.69,6.24,11.93
ENSG00000001626,0.09,0.1,0.53,1.13,2.31,0.19,0.05,0.13
ENSG00000001629,28.42,29.11,41.4,13.6,23.3,28.36,19.87,31.5
ENSG00000001630,93.02,68.5,82.17,55.41,57.96,63.29,51.64,54.38
ENSG00000001631,34.72,29.04,35.99,22.66,26.23,16.65,21.5,21.52
ENSG00000002016,5.49,8.61,9.76,9.56,8.04,7.12,5.79,5.86
ENSG00000002079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002330,2.6,19.21,20.0,37.99,44.97,45.96,52.89,98.07
ENSG00000002549,30.37,51.27,43.91,67.49,40.5,39.89,21.01,22.95
ENSG00000002586,98.68,102.9,251.48,491.92,453.59,510.71,334.12,415.99
ENSG00000002587,0.1,0.57,1.31,0.33,0.57,0.56,0.97,0.19
ENSG00000002726,0.07,0.07,0.05,0.3,0.08,0.03,0.1,0.5
ENSG00000002745,0.04,0.0,0.73,0.02,0.18,0.19,0.0,0.0
ENSG00000002746,1.23,0.3,0.22,0.01,0.31,0.58,0.25,0.21
ENSG00000002822,16.08,20.54,16.71,18.43,11.69,13.7,22.46,13.36
ENSG00000002834,98.39,129.77,115.37,42.08,100.62,157.92,66.27,65.07
ENSG00000002919,4.7,12.16,12.39,11.68,12.02,16.19,9.69,13.78
ENSG00000002933,0.23,0.11,0.22,17.78,54.53,31.53,111.28,196.89
ENSG00000003056,92.57,102.46,96.61,72.24,78.12,72.57,81.51,70.89
ENSG00000003096,7.38,6.23,6.86,15.57,7.59,15.52,50.87,45.57
ENSG00000003137,0.01,0.1,0.45,1.5,2.29,4.34,1.9,9.61
ENSG00000003147,24.58,7.0,14.85,7.55,19.28,12.84,23.71,20.22
ENSG00000003249,11.4,10.88,9.45,3.5,4.45,5.11,4.58,4.41
ENSG00000003393,38.34,29.56,40.11,20.64,22.63,39.21,31.76,45.84
ENSG00000003400,0.69,2.55,5.19,0.48,2.12,1.67,0.69,0.75
ENSG00000003402,2.26,10.05,24.5,9.66,17.29,24.21,13.91,16.49
ENSG00000003436,1.64,2.27,59.8,6.29,78.26,50.14,32.78,24.53
ENSG00000003509,45.82,32.73,41.12,22.15,25.81,20.27,15.35,21.71
ENSG00000003756,77.9,77.02,119.17,112.17,135.78,67.36,94.46,104.41
ENSG00000003987,3.81,1.04,2.85,0.62,1.07,0.67,0.94,1.73
ENSG00000003989,5.2,4.17,66.8,20.04,24.02,13.96,16.94,21.17
ENSG00000004059,69.04,146.93,146.38,114.48,124.65,91.88,87.26,122.57
ENSG00000004139,2.42,6.39,2.87,2.34,6.55,5.25,3.72,6.19
ENSG00000004142,30.26,81.55,68.67,90.98,68.44,83.23,68.99,96.46
ENSG00000004399,13.41,47.9,51.78,32.0,67.71,50.88,40.58,64.11
ENSG00000004455,103.04,118.23,103.27,175.85,130.29,114.71,162.62,100.73
ENSG00000004468,0.2,0.02,0.03,0.06,0.55,0.24,0.89,0.81
