gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000000003,43.28,45.61,62.41,51.56,35.37,43.45,39.43,21.09,28.79
ENSG00000000005,0.46,1.25,0.68,0.11,0.0,0.1,0.05,2.95,6.82
ENSG00000000419,80.25,62.84,51.19,39.74,28.5,41.23,47.0,41.45,41.47
ENSG00000000457,1.88,2.59,9.37,8.64,2.75,5.41,4.59,5.24,4.9
ENSG00000000460,22.83,17.02,14.76,7.96,5.64,7.1,7.04,4.17,3.94
ENSG00000000938,0.03,0.06,0.06,0.0,0.14,0.0,0.0,0.0,0.12
ENSG00000000971,0.06,0.05,0.0,0.01,0.37,0.23,0.56,51.85,135.99
ENSG00000001036,57.26,42.77,58.91,46.09,61.57,45.98,65.26,34.84,43.05
ENSG00000001084,53.92,44.56,28.18,25.46,28.23,22.53,19.76,19.61,17.75
ENSG00000001167,20.18,26.79,34.93,29.84,27.22,23.56,24.05,13.12,14.77
ENSG00000001460,7.06,6.28,6.37,9.01,9.53,7.72,7.33,4.97,4.43
ENSG00000001461,5.61,2.17,8.55,19.25,30.02,20.81,26.54,15.23,16.91
ENSG00000001497,50.92,54.04,52.84,45.28,20.36,26.3,26.51,14.23,14.0
ENSG00000001561,3.26,1.09,1.1,1.27,1.6,3.19,3.09,6.92,7.58
ENSG00000001617,17.76,21.29,43.42,62.23,27.97,20.03,8.72,7.57,12.02
ENSG00000001626,1.02,1.21,0.46,1.27,1.56,1.27,3.4,1.33,1.28
ENSG00000001629,36.55,19.99,31.34,32.72,28.5,23.77,32.84,33.27,37.85
ENSG00000001630,100.53,56.03,51.82,49.38,108.07,58.67,71.55,57.84,72.17
ENSG00000001631,28.0,37.33,44.04,34.13,20.57,24.45,28.07,24.93,20.93
ENSG00000002016,10.68,10.9,19.15,23.04,20.36,12.55,9.34,10.96,9.72
ENSG00000002079,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.05,0.05
ENSG00000002330,11.48,23.0,22.25,32.37,49.74,37.69,43.41,35.92,38.49
ENSG00000002549,43.58,49.24,42.15,35.79,22.61,41.12,49.28,32.29,35.4
ENSG00000002586,85.96,135.62,590.03,869.28,625.86,385.89,487.68,297.05,479.55
ENSG00000002587,0.0,0.0,0.32,0.18,0.0,0.0,0.0,0.0,0.02
ENSG00000002726,0.09,0.05,0.03,0.0,0.03,0.09,0.08,0.09,0.12
ENSG00000002745,0.49,0.0,0.18,0.19,0.02,0.02,0.28,0.13,0.0
ENSG00000002746,2.36,0.61,0.26,0.26,0.45,0.36,1.3,0.23,0.5
ENSG00000002822,15.01,23.66,21.72,19.29,17.66,10.77,15.41,13.52,12.95
ENSG00000002834,130.18,107.46,93.67,123.61,146.54,90.56,204.91,78.35,108.9
ENSG00000002919,10.49,13.86,12.02,10.43,7.98,11.17,14.42,10.17,11.08
ENSG00000002933,0.29,0.11,0.26,0.86,8.58,12.31,37.82,76.71,133.13
ENSG00000003056,106.8,105.93,96.14,92.57,84.63,72.53,80.69,70.32,50.12
ENSG00000003096,8.86,5.8,5.21,4.93,6.04,6.0,5.73,26.18,25.01
ENSG00000003137,0.29,0.37,0.11,0.11,0.16,0.68,2.06,1.3,0.78
ENSG00000003147,31.84,10.28,24.36,23.35,33.49,20.43,18.04,35.62,31.12
ENSG00000003249,39.99,30.4,16.45,5.67,10.12,16.76,10.11,8.53,5.39
ENSG00000003393,26.13,23.05,32.18,28.11,24.24,22.41,25.58,29.34,22.46
ENSG00000003400,4.08,3.26,4.55,2.95,2.1,1.41,3.42,0.75,1.94
ENSG00000003402,6.01,12.9,10.34,14.01,14.28,20.17,40.3,20.01,22.08
ENSG00000003436,8.68,2.95,32.27,54.84,46.93,38.53,23.75,14.37,17.9
ENSG00000003509,39.98,25.71,27.66,23.74,14.88,18.81,21.72,17.22,11.83
ENSG00000003756,55.17,85.59,143.03,234.0,133.62,116.11,108.84,115.74,92.56
ENSG00000003987,5.7,1.67,1.45,0.56,6.03,4.49,1.58,3.89,5.33
ENSG00000003989,12.66,8.75,76.09,63.25,99.17,56.54,12.86,13.98,18.03
ENSG00000004059,107.81,149.54,158.16,153.78,113.14,125.41,118.81,68.73,75.52
ENSG00000004139,2.68,3.32,1.68,3.18,3.06,5.01,7.55,5.15,5.39
ENSG00000004142,60.3,77.79,71.7,74.66,59.99,74.26,80.88,63.27,56.69
ENSG00000004399,44.55,50.98,43.32,60.45,73.66,56.8,61.91,33.13,55.53
ENSG00000004455,99.96,125.06,99.77,88.05,69.34,112.06,116.2,110.18,90.99
ENSG00000004468,0.01,0.04,0.01,0.0,0.08,0.0,0.18,0.0,0.1
ENSG00000004478,189.39,182.87,91.7,91.52,103.12,67.35,67.65,43.36,40.62
ENSG00000004487,187.55,165.36,173.91,171.03,133.3,106.93,95.28,55.41,48.35
ENSG00000004534,77.67,73.4,109.7,133.36,91.11,49.61,52.66,57.57,41.72
ENSG00000004660,2.81,2.61,1.62,1.22,1.75,2.57,2.67,4.88,5.87
ENSG00000004700,47.44,34.4,35.46,23.69,16.37,19.99,31.14,17.92,20.66
ENSG00000004766,7.32,6.83,9.34,13.76,8.57,11.03,12.82,19.28,17.4
ENSG00000004776,0.28,0.28,1.01,1.19,0.67,1.31,1.16,29.04,90.9
ENSG00000004777,12.34,10.75,21.36,22.75,24.89,18.76,14.33,11.9,8.9
ENSG00000004779,133.1,129.45,98.7,90.44,96.26,127.8,135.52,107.69,103.19
ENSG00000004799,0.43,0.31,0.11,1.04,3.39,1.4,0.3,5.37,2.15
ENSG00000004809,0.22,0.0,0.0,0.27,0.13,0.18,0.0,0.08,0.34
ENSG00000004838,0.45,0.57,0.82,0.71,0.6,0.82,0.45,0.27,0.53
ENSG00000004846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03
ENSG00000004848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004864,83.06,84.58,57.0,35.7,18.95,32.57,44.54,20.76,18.96
ENSG00000004866,12.59,8.55,16.77,30.81,33.02,30.3,38.09,25.09,23.78
ENSG00000004897,62.04,70.36,99.6,82.67,92.28,81.61,105.75,62.26,73.59
ENSG00000004939,0.06,0.0,0.0,0.03,0.04,0.0,0.05,0.0,0.0
ENSG00000004948,2.62,9.53,0.98,0.19,0.05,0.08,0.05,0.0,0.0
ENSG00000004961,39.78,36.15,29.9,22.28,19.41,30.1,47.87,36.41,32.09
ENSG00000004975,24.88,44.84,55.13,55.5,67.52,37.09,31.86,30.13,29.29
ENSG00000005001,1.85,1.43,0.63,1.67,6.89,2.38,1.39,0.0,0.0
ENSG00000005007,40.32,43.85,45.51,42.53,36.81,32.32,42.95,26.6,29.53
ENSG00000005020,3.87,6.12,3.03,3.01,5.97,4.45,7.15,3.21,2.72
ENSG00000005022,428.43,411.19,307.11,328.07,368.71,397.26,323.27,257.67,231.3
ENSG00000005059,14.92,10.3,8.49,11.26,13.78,5.86,5.67,4.36,3.32
ENSG00000005073,0.0,0.03,0.12,0.52,1.51,0.06,0.34,0.25,0.82
ENSG00000005075,35.31,55.76,46.96,35.34,36.95,39.42,37.84,30.22,28.74
ENSG00000005100,37.28,36.95,24.89,14.8,7.98,10.49,8.5,8.15,6.62
ENSG00000005102,0.0,0.03,0.87,2.48,1.41,1.36,4.13,0.31,0.19
ENSG00000005108,0.27,1.47,1.33,4.68,5.19,3.37,0.58,1.2,1.33
ENSG00000005156,80.59,64.01,61.57,63.07,53.31,27.27,25.71,35.71,16.17
ENSG00000005175,69.8,27.54,30.18,29.39,22.59,25.29,27.48,38.39,31.69
ENSG00000005187,2.67,0.94,2.96,6.44,5.46,12.52,4.42,1.39,1.96
ENSG00000005189,2.33,3.74,3.84,6.2,3.24,9.9,8.45,6.56,9.43
ENSG00000005194,78.53,65.56,64.82,59.14,59.9,62.29,71.77,49.35,46.65
ENSG00000005206,13.01,21.17,56.69,48.19,26.72,35.14,34.2,19.03,18.97
ENSG00000005238,4.2,5.64,15.63,15.13,27.2,14.89,36.75,12.55,15.39
ENSG00000005243,0.0,1.33,3.75,8.99,13.76,25.11,54.27,66.71,173.37
ENSG00000005249,25.21,5.96,5.74,4.22,6.67,22.6,12.35,12.42,22.92
ENSG00000005302,20.33,15.23,24.09,20.76,10.41,19.25,26.01,22.75,21.89
ENSG00000005339,24.83,29.69,47.26,47.74,32.29,26.24,29.6,38.91,34.39
ENSG00000005379,2.98,4.76,20.15,30.31,18.22,23.47,7.17,11.96,11.73
ENSG00000005381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005421,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.0,0.0
ENSG00000005436,12.66,12.06,15.68,21.39,30.45,11.92,13.24,14.58,9.76
ENSG00000005448,17.77,28.83,36.0,35.41,24.39,29.54,12.16,4.99,6.65
ENSG00000005469,4.03,2.63,3.22,3.62,1.84,5.55,8.3,6.8,8.78
ENSG00000005471,0.39,0.56,0.84,11.01,9.49,4.6,3.12,3.0,1.74
ENSG00000005483,19.64,21.42,41.17,52.43,39.28,32.72,34.09,38.13,34.1
ENSG00000005486,17.87,32.8,42.94,50.35,61.05,42.2,45.99,30.57,34.02
ENSG00000005513,3.41,2.43,1.83,4.59,4.83,1.97,0.79,0.87,1.4
ENSG00000005700,17.87,11.36,11.18,16.07,10.34,17.98,26.43,27.87,26.76
ENSG00000005801,58.39,41.42,26.94,16.25,14.24,14.03,17.91,12.26,10.31
ENSG00000005810,20.81,18.16,27.88,22.19,19.3,17.62,22.35,25.84,22.46
ENSG00000005812,11.51,7.08,14.05,16.59,12.62,13.56,16.94,17.28,20.83
ENSG00000005844,0.11,0.46,0.01,0.08,0.14,0.06,0.0,0.0,0.0
ENSG00000005882,15.53,18.76,37.82,56.36,48.18,49.43,43.8,71.43,70.48
ENSG00000005884,22.82,10.6,11.08,93.19,89.79,62.75,171.31,68.2,67.08
ENSG00000005889,9.81,8.17,13.01,12.45,11.83,14.97,15.52,14.31,14.95
ENSG00000005893,28.58,20.08,26.52,48.06,63.88,41.21,62.99,56.19,70.21
ENSG00000005961,2.61,2.86,8.33,10.41,11.14,2.87,0.88,0.94,0.98
ENSG00000005981,0.0,0.0,0.02,0.0,0.28,0.13,0.41,0.17,0.1
ENSG00000006007,62.42,46.26,50.98,49.64,58.76,63.7,69.89,50.65,51.48
