gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000000003,58.53,56.6,69.35,82.05,46.4,50.87,33.4,27.09,27.46
ENSG00000000005,1.67,1.62,0.31,0.0,0.0,0.27,0.12,3.95,8.77
ENSG00000000419,97.9,85.33,63.46,62.1,41.44,43.11,56.71,43.72,44.73
ENSG00000000457,2.43,5.3,8.26,7.82,4.9,6.12,4.97,6.31,6.74
ENSG00000000460,19.39,17.5,12.01,13.2,5.01,4.75,7.7,3.6,2.58
ENSG00000000938,0.21,0.07,0.06,0.0,0.0,0.03,0.0,0.0,0.08
ENSG00000000971,0.05,0.05,0.04,0.04,0.19,3.44,2.55,142.39,202.55
ENSG00000001036,61.04,49.95,59.71,57.09,45.7,53.57,60.1,42.99,47.99
ENSG00000001084,65.52,41.58,30.37,28.76,16.58,20.33,21.68,22.64,26.78
ENSG00000001167,25.22,26.18,33.91,28.17,26.08,25.34,17.15,18.65,15.38
ENSG00000001460,5.4,7.89,7.23,6.38,7.5,5.09,3.81,5.67,5.47
ENSG00000001461,5.83,1.91,7.55,10.54,16.91,20.65,15.63,19.36,20.55
ENSG00000001497,54.83,53.6,51.37,41.08,24.72,21.86,23.84,19.89,17.71
ENSG00000001561,2.83,2.01,1.68,2.98,2.05,3.75,5.08,3.81,5.53
ENSG00000001617,18.17,41.9,33.71,19.52,15.8,10.02,2.5,3.97,5.14
ENSG00000001626,0.66,0.44,0.7,0.77,2.34,1.36,0.34,1.21,0.78
ENSG00000001629,40.39,25.82,31.55,32.46,31.41,32.32,25.53,34.8,35.61
ENSG00000001630,162.02,69.64,41.1,83.3,79.8,65.76,95.59,58.18,40.25
ENSG00000001631,35.53,31.85,40.37,33.18,30.92,29.81,23.77,30.66,28.15
ENSG00000002016,7.16,10.67,12.46,14.25,14.98,11.03,8.26,10.91,12.87
ENSG00000002079,0.01,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
ENSG00000002330,12.68,23.4,26.05,31.55,41.81,52.51,39.93,49.88,42.67
ENSG00000002549,60.82,49.6,45.29,54.55,43.36,44.91,71.91,38.49,40.45
ENSG00000002586,62.89,149.23,628.22,882.9,626.21,427.37,342.12,465.75,499.51
ENSG00000002587,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
ENSG00000002726,0.32,0.08,0.15,0.2,0.13,0.55,0.0,0.0,0.06
ENSG00000002745,0.38,0.05,0.21,0.12,0.12,0.06,0.5,0.0,0.0
ENSG00000002746,4.38,1.08,0.15,0.04,0.38,0.62,0.4,0.64,1.27
ENSG00000002822,19.13,20.87,18.92,19.85,8.66,17.41,10.08,7.89,12.91
ENSG00000002834,144.43,129.12,104.9,140.79,139.86,95.4,122.73,138.87,128.14
ENSG00000002919,13.71,13.92,11.87,11.63,10.12,10.88,14.89,12.17,14.52
ENSG00000002933,0.34,0.27,0.17,1.04,8.91,37.02,24.28,79.52,116.95
ENSG00000003056,112.71,103.87,105.49,98.53,64.75,63.51,79.02,68.88,78.73
ENSG00000003096,8.36,5.79,4.35,5.95,4.34,3.96,32.83,43.56,27.34
ENSG00000003137,0.17,0.16,0.06,0.03,0.12,0.57,1.11,1.47,0.39
ENSG00000003147,35.12,10.92,19.23,13.6,20.19,19.64,9.63,22.47,20.06
ENSG00000003249,49.34,34.28,20.02,4.64,7.82,11.15,7.81,8.2,5.7
ENSG00000003393,30.17,27.26,26.09,35.09,26.1,22.88,26.95,35.6,24.04
ENSG00000003400,2.46,4.09,4.07,2.91,1.62,2.67,0.62,1.51,1.14
ENSG00000003402,6.89,23.96,15.8,20.49,22.51,19.07,30.95,27.62,23.91
ENSG00000003436,4.07,5.76,19.55,97.33,95.68,106.98,32.9,32.2,33.3
ENSG00000003509,41.93,31.6,24.93,25.88,17.52,19.81,21.85,15.25,14.45
ENSG00000003756,58.44,77.3,140.86,150.33,144.4,117.26,77.06,121.91,106.95
ENSG00000003987,5.55,2.16,3.01,1.42,3.27,2.28,1.62,2.77,2.96
ENSG00000003989,12.96,6.03,62.11,56.33,90.94,28.12,19.71,8.71,10.59
ENSG00000004059,97.27,157.42,174.78,138.31,131.67,97.97,73.14,105.47,88.23
ENSG00000004139,3.71,3.4,0.87,4.3,5.66,5.31,3.73,6.06,7.59
ENSG00000004142,74.84,76.02,66.56,78.74,77.76,67.94,94.24,72.82,64.87
ENSG00000004399,21.05,45.05,70.37,50.38,70.5,60.04,31.6,53.77,56.46
ENSG00000004455,132.03,103.04,110.42,110.44,105.75,108.61,130.8,98.85,90.23
ENSG00000004468,0.11,0.29,0.13,0.2,0.0,0.01,0.15,0.19,0.16
ENSG00000004478,228.5,130.4,74.99,58.62,68.1,62.95,84.51,47.3,29.54
ENSG00000004487,199.63,161.05,159.3,143.89,103.98,96.63,74.92,65.93,49.71
ENSG00000004534,72.96,80.11,97.65,81.81,71.8,49.24,40.53,52.5,54.45
ENSG00000004660,3.07,2.64,2.91,1.68,2.43,2.71,2.32,5.95,7.21
ENSG00000004700,48.78,45.62,26.71,42.3,24.25,24.26,30.64,20.3,26.06
ENSG00000004766,9.75,6.52,9.57,14.2,13.54,14.73,15.37,16.46,17.99
ENSG00000004776,0.15,0.15,0.64,1.1,3.68,8.81,4.91,35.28,98.94
ENSG00000004777,13.06,9.82,16.09,17.13,14.47,13.64,9.35,9.5,13.17
ENSG00000004779,156.07,127.9,109.53,121.32,112.7,127.01,152.49,100.5,86.34
ENSG00000004799,0.02,0.16,0.82,0.86,3.94,2.95,0.24,3.18,4.53
ENSG00000004809,0.0,0.26,0.04,0.0,0.0,0.16,0.2,0.0,0.04
ENSG00000004838,0.05,0.84,0.41,0.29,0.24,0.25,0.52,0.95,0.92
ENSG00000004846,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004864,94.9,108.01,50.0,54.1,33.27,30.79,43.15,21.05,20.11
ENSG00000004866,15.1,8.01,8.53,34.09,28.2,29.11,29.76,25.85,24.55
ENSG00000004897,71.26,75.86,77.99,112.25,95.27,82.81,120.15,84.11,77.88
ENSG00000004939,0.03,0.03,0.0,0.1,0.0,0.0,0.0,0.0,0.0
ENSG00000004948,2.04,25.25,1.19,0.14,0.07,0.0,0.05,0.05,0.02
ENSG00000004961,45.84,37.33,31.81,38.13,25.4,34.99,73.59,37.77,32.92
ENSG00000004975,27.27,45.86,54.71,38.33,40.21,38.57,29.01,45.5,43.09
ENSG00000005001,1.39,2.67,2.14,0.33,0.67,0.19,0.81,0.0,0.0
ENSG00000005007,44.36,42.9,46.72,38.06,32.9,30.49,35.75,34.67,36.27
ENSG00000005020,4.79,4.49,3.08,4.54,6.92,4.06,4.13,2.4,3.08
ENSG00000005022,448.94,329.82,346.41,314.68,310.61,366.77,427.77,235.69,177.49
ENSG00000005059,21.21,11.83,6.86,12.09,5.84,3.31,6.53,3.16,2.92
ENSG00000005073,0.0,0.0,0.0,0.0,0.19,0.15,0.09,0.09,0.22
ENSG00000005075,36.01,52.55,46.83,39.85,32.7,31.39,40.11,34.66,33.64
ENSG00000005100,53.2,31.24,22.5,15.73,9.89,8.52,10.22,10.05,9.75
ENSG00000005102,0.06,0.03,0.17,0.61,2.95,0.99,1.02,1.2,0.53
ENSG00000005108,0.27,1.37,0.77,3.5,2.18,2.85,1.94,1.81,1.21
ENSG00000005156,83.71,65.04,73.03,53.87,31.27,24.79,25.84,24.63,23.33
ENSG00000005175,71.68,42.46,31.49,59.83,31.39,37.59,50.18,23.59,26.03
ENSG00000005187,1.91,2.71,9.84,5.66,3.11,6.79,1.61,1.25,1.57
ENSG00000005189,2.66,4.33,5.78,4.39,5.86,5.57,12.9,14.35,7.84
