ENSG00000002330: BAD
ENSG00000006756: ARSD
ENSG00000008710: PKD1
ENSG00000011638: LDAF1
ENSG00000018408: WWTR1
ENSG00000036448: MYOM2
ENSG00000054148: PHPT1
ENSG00000064205: CCN5
ENSG00000068137: PLEKHH3
ENSG00000069020: MAST4
ENSG00000069431: ABCC9
ENSG00000070778: PTPN21
ENSG00000071991: CDH19
ENSG00000073737: DHRS9
ENSG00000078061: ARAF
ENSG00000080503: SMARCA2
ENSG00000082196: C1QTNF3
ENSG00000085998: POMGNT1
ENSG00000089163: SIRT4
ENSG00000090615: GOLGA3
ENSG00000100100: PIK3IP1
ENSG00000100241: SBF1
ENSG00000100399: CHADL
ENSG00000100417: PMM1
ENSG00000101460: MAP1LC3A
ENSG00000102010: BMX
ENSG00000102178: UBL4A
ENSG00000102871: TRADD
ENSG00000103888: CEMIP
ENSG00000104324: CPQ
ENSG00000105971: CAV2
ENSG00000107147: KCNT1
ENSG00000107282: APBA1
ENSG00000109099: PMP22
ENSG00000109738: GLRB
ENSG00000110046: ATG2A
ENSG00000110651: CD81
ENSG00000112319: EYA4
ENSG00000112936: C7
ENSG00000114923: SLC4A3
ENSG00000115183: TANC1
ENSG00000115295: CLIP4
ENSG00000115896: PLCL1
ENSG00000116991: SIPA1L2
ENSG00000119242: CCDC92
ENSG00000120729: MYOT
ENSG00000122862: SRGN
ENSG00000123091: RNF11
ENSG00000123570: RAB9B
ENSG00000124882: EREG
ENSG00000125875: TBC1D20
ENSG00000126705: AHDC1
ENSG00000127083: OMD
ENSG00000127129: EDN2
ENSG00000127220: ABHD8
ENSG00000129048: ACKR4
ENSG00000129968: ABHD17A
ENSG00000130522: JUND
ENSG00000132128: LRRC41
ENSG00000132669: RIN2
ENSG00000133657: ATP13A3
ENSG00000134291: TMEM106C
ENSG00000137767: SQOR
ENSG00000139266: MARCHF9
ENSG00000141551: CSNK1D
ENSG00000142227: EMP3
ENSG00000142327: RNPEPL1
ENSG00000143669: LYST
ENSG00000144567: RETREG2
ENSG00000144746: ARL6IP5
ENSG00000146147: MLIP
ENSG00000148180: GSN
ENSG00000148444: COMMD3
ENSG00000148516: ZEB1
ENSG00000149294: NCAM1
ENSG00000150967: ABCB9
ENSG00000151135: TMEM263
ENSG00000151414: NEK7
ENSG00000154262: ABCA6
ENSG00000157240: FZD1
ENSG00000162241: SLC25A45
ENSG00000162302: RPS6KA4
ENSG00000162366: PDZK1IP1
ENSG00000162599: NFIA
ENSG00000162670: BRINP3
ENSG00000164023: SGMS2
ENSG00000164542: MATCAP2
ENSG00000164896: FASTK
ENSG00000165915: SLC39A13
ENSG00000166313: APBB1
ENSG00000166546: BEAN1
ENSG00000166670: MMP10
ENSG00000167123: CERCAM
ENSG00000167487: KLHL26
ENSG00000168497: CAVIN2
ENSG00000169851: PCDH7
ENSG00000170290: SLN
ENSG00000170409: Not found
ENSG00000171574: ZNF584
ENSG00000172638: EFEMP2
ENSG00000173442: EHBP1L1
ENSG00000173546: CSPG4
ENSG00000174099: MSRB3
ENSG00000175084: DES
ENSG00000175749: EIF3KP1
ENSG00000175920: DOK7
ENSG00000177000: MTHFR
ENSG00000177303: CASKIN2
ENSG00000177697: CD151
ENSG00000179981: TSHZ1
ENSG00000180332: KCTD4
ENSG00000182255: KCNA4
ENSG00000182557: SPNS3
ENSG00000182771: GRID1
ENSG00000182836: PLCXD3
ENSG00000183087: GAS6
ENSG00000183580: FBXL7
ENSG00000183607: GKN2
ENSG00000184068: SREBF2-AS1
ENSG00000184347: SLIT3
ENSG00000184489: PTP4A3
ENSG00000184500: PROS1
ENSG00000185909: KLHDC8B
ENSG00000188643: S100A16
ENSG00000188765: TMSB4XP2
ENSG00000189320: FAM180A
ENSG00000189409: MMP23B
ENSG00000196998: WDR45
ENSG00000197632: SERPINB2
ENSG00000197956: S100A6
ENSG00000198324: PHETA1
ENSG00000198832: SELENOM
ENSG00000198972: MIRLET7E
ENSG00000199363: SNORA63E
ENSG00000200059: Y_RNA
ENSG00000200293: RNA5SP393
ENSG00000200530: SNORD35B
ENSG00000201405: Y_RNA
ENSG00000201498: Y_RNA
ENSG00000205420: KRT6A
ENSG00000206587: RNU6-46P
ENSG00000206685: RNU6-1189P
ENSG00000206870: RNU6-398P
ENSG00000207088: SNORA7B
ENSG00000207475: SNORA80E
ENSG00000207561: MIR635
ENSG00000207597: MIR490
ENSG00000212265: RNA5SP185
ENSG00000212402: SNORA74B
ENSG00000212445: Not found
ENSG00000212565: Not found
ENSG00000212581: U8
ENSG00000213047: DENND1B
ENSG00000214915: Not found
ENSG00000216365: RPL37P15
ENSG00000220370: Not found
ENSG00000223023: Y_RNA
ENSG00000224746: Not found
ENSG00000225663: MCRIP1
ENSG00000226005: LINC02660
ENSG00000226251: LINC02608
ENSG00000226742: HSBP1L1
ENSG00000227120: Not found
ENSG00000227726: Not found
ENSG00000228040: Not found
ENSG00000229081: LINC01165
ENSG00000229686: SNORD56
ENSG00000229715: EEF1DP3
ENSG00000229886: Not found
ENSG00000230506: Not found
ENSG00000231449: Not found
ENSG00000231501: MTND4LP1
ENSG00000231776: LINC01611
ENSG00000232097: Not found
